Generacion,CarID,Fitness_Final,Tiempo_Vivo,SpawnID,Razon_Muerte,Penalty_Muerte,Acum_PenaltyVelocidad,Acum_A,Media_B,Acum_C,Acum_D,Acum_E,Acum_F,Acum_NetNormal,Acum_PenaltyCorrectingWrong,Ticks_Normal,Ticks_Total
﻿1,BP_VehicleAI223,-0.098597,3,TargetPoint,LAZY,0.295412,0.0,0.194825,0.000004,317.414196,65.337689,0.001776,0.000214,0.196815,0.0,47.0,47.0
﻿1,BP_VehicleAI229,-22.47541,3,TargetPoint6,LAZY,22.689274,0.0,0.212666,0.000002,328.308054,65.337689,0.000909,0.00029,0.213864,0.0,47.0,47.0
﻿1,BP_VehicleAI230,0.050731,3,TargetPoint3,LAZY,0.059216,0.0,0.107969,0.000004,338.364131,65.337689,0.001912,0.000066,0.109948,0.0,47.0,47.0
﻿1,BP_VehicleAI26,-21.27528,3,TargetPoint3,LAZY,21.387875,0.0,0.110495,0.000004,339.313745,65.337689,0.00203,0.000071,0.112596,0.0,47.0,47.0
﻿1,BP_VehicleAI231,-4.048984,3,TargetPoint,LAZY,4.209499,0.0,0.158913,0.000003,317.004858,65.337689,0.00146,0.000143,0.160515,0.0,47.0,47.0
﻿1,BP_VehicleAI234,-15.862407,3,TargetPoint7,LAZY,15.96227,0.0,0.098193,0.000004,300.074813,65.337689,0.001615,0.000055,0.099863,0.0,47.0,47.0
﻿1,BP_VehicleAI21,-9.66777,3,TargetPoint9,LAZY,9.894414,0.0,0.225558,0.000002,318.524872,65.337689,0.000795,0.000291,0.226644,0.0,47.0,47.0
﻿1,BP_VehicleAI213,-19.789808,3,TargetPoint,LAZY,19.933494,0.0,0.142026,0.000004,316.888662,65.337689,0.001545,0.000115,0.143686,0.0,47.0,47.0
﻿1,BP_VehicleAI256,-17.227965,3,TargetPoint5,LAZY,17.453857,0.0,0.225364,0.000001,216.768074,65.337689,0.000237,0.000291,0.225892,0.0,47.0,47.0
﻿1,BP_VehicleAI222,-20.445074,3,TargetPoint7,LAZY,20.665068,0.0,0.219292,0.000001,303.81656,65.337689,0.000411,0.00029,0.219994,0.0,47.0,47.0
﻿1,BP_VehicleAI25,-12.531968,3,TargetPoint3,LAZY,12.756315,0.0,0.223723,0.000001,342.663179,65.337689,0.000334,0.000291,0.224347,0.0,47.0,47.0
﻿1,BP_VehicleAI228,-24.715951,3,TargetPoint7,LAZY,24.938995,0.0,0.222408,0.000001,304.089019,65.337689,0.000345,0.000291,0.223044,0.0,47.0,47.0
﻿1,BP_VehicleAI259,-15.996144,3,TargetPoint,LAZY,15.629096,0.0,-0.368208,0.000002,317.125203,65.337689,0.001045,0.000116,-0.367048,0.0,47.0,47.0
﻿1,BP_VehicleAI257,-11.656804,3,TargetPoint6,LAZY,11.768301,0.0,0.109265,0.000005,325.339898,65.337689,0.002159,0.000075,0.111498,0.0,47.0,47.0
﻿1,BP_VehicleAI224,-8.186796,3,TargetPoint10,LAZY,8.300245,0.0,0.110569,0.000007,308.890385,65.337689,0.002811,0.00007,0.113449,0.0,47.0,47.0
﻿1,BP_VehicleAI226,-6.425975,3,TargetPoint4,LAZY,6.652798,0.0,0.22615,0.000001,348.73979,65.337689,0.000383,0.000291,0.226824,0.0,47.0,47.0
﻿1,BP_VehicleAI212,-5.035049,3,TargetPoint8,LAZY,5.15179,0.0,0.115374,0.000003,297.538028,65.337689,0.001291,0.000077,0.116742,0.0,47.0,47.0
﻿1,BP_VehicleAI227,-6.485314,3,TargetPoint5,LAZY,6.653902,0.0,0.166692,0.000006,214.461463,65.337689,0.001738,0.000158,0.168589,0.0,47.0,47.0
﻿1,BP_VehicleAI258,-29.102127,3,TargetPoint6,LAZY,29.285997,0.0,0.18184,0.000004,327.686095,65.337689,0.00182,0.000209,0.183869,0.0,47.0,47.0
﻿1,BP_VehicleAI254,-13.087863,3,TargetPoint10,LAZY,12.552554,0.0,-0.536625,0.000002,312.687761,65.337689,0.001069,0.000247,-0.535309,0.0,47.0,47.0
﻿1,BP_VehicleAI248,-7.032291,3,TargetPoint3,LAZY,7.258185,0.0,0.225038,0.000001,342.674907,65.337689,0.000565,0.000291,0.225894,0.0,47.0,47.0
