Generación,MejorFitnessNorm,FitnessNormMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular
﻿1,46362.566189,3610.760028,9.95,COLLISION_WITH_NavModifierVolume19,CORRECTINGWRONG,6
﻿2,15079.295106,3275.011559,11.516667,COLLISION_WITH_NavModifierVolume12,LAZY,20
﻿3,144835.831625,-2019.117232,8.366667,COLLISION_WITH_NavModifierVolume17,LAZY,25
﻿4,13883.963815,557.204752,6.516667,CORRECTINGWRONG,LAZY,18
﻿5,55305.580106,3205.638875,6.816667,CORRECTINGWRONG,LAZY,27
﻿6,14222.832499,1127.139184,4.8,COLLISION_WITH_BP_IntersectionBorder145,LAZY,29
﻿7,88883.422363,10.354068,8.55,CORRECTINGWRONG,LAZY,28
﻿8,20607.635907,473.290662,3.983333,COLLISION_WITH_NavModifierVolume2,LAZY,25
﻿9,26073.251977,-364.876543,4.066667,COLLISION_WITH_NavModifierVolume42,LAZY,27
﻿10,20800.141702,930.214437,4.516667,COLLISION_WITH_NavModifierVolume30,LAZY,30
﻿11,118617.720562,-3343.034914,5.983333,COLLISION_WITH_NavModifierVolume30,LAZY,21
﻿12,57551.432459,704.982506,5.666667,COLLISION_WITH_BP_IntersectionBorder19,LAZY,28
﻿13,44000.977811,1033.692986,5.933333,COLLISION_WITH_NavModifierVolume53,LAZY,22
﻿14,21013.500817,819.239237,4.333333,COLLISION_WITH_NavModifierVolume30,LAZY,28
﻿15,18711.592196,1191.383728,5.15,COLLISION_WITH_BP_IntersectionBorder36,LAZY,30
﻿16,16054.602547,2372.641276,5.616667,COLLISION_WITH_NavModifierVolume23,LAZY,29
﻿17,18188.463081,-261.752741,5.433333,COLLISION_WITH_NavModifierVolume30,LAZY,28
﻿18,44327.096878,505.224118,4.666667,COLLISION_WITH_NavModifierVolume52,LAZY,28
﻿19,20013.734993,98.971219,4.383333,COLLISION_WITH_NavModifierVolume30,LAZY,26
﻿20,6257.722851,-76.502617,4.066667,CORRECTINGWRONG,LAZY,28
﻿21,70188.755625,295.225729,6.75,COLLISION_WITH_NavModifierVolume22,LAZY,32
﻿22,20954.75403,961.565521,4.6,COLLISION_WITH_NavModifierVolume30,LAZY,24
﻿23,129264.413139,-4244.134442,5.666667,CORRECTINGWRONG,LAZY,26
﻿24,65855.971416,-1326.180419,6.083333,COLLISION_WITH_NavModifierVolume52,LAZY,31
﻿25,14247.518539,632.571583,4.366667,CORRECTINGWRONG,LAZY,31
﻿26,27991.326454,-862.78263,4.483333,COLLISION_WITH_NavModifierVolume42,LAZY,27
