Generacion,CarID,Fitness_Final,Tiempo_Vivo,SpawnID,Razon_Muerte,Penalty_Muerte,Acum_PenaltyVelocidad,Acum_A,Media_B,Acum_C,Acum_D,Acum_E,Acum_F,Acum_WaitBonus,Acum_NetNormal,Acum_PenaltyCorrectingWrong,Acum_PenaltyTrafficViolation,Ticks_Normal,Ticks_Total,TrainingMode,Acum_ThrottlePos,Acum_BrakeInput,CoastTime,Acum_StopBrake,Acum_StopThrottle,Ticks_StopContext,Acum_CreepingPenalty,Acum_ReversePenalty,Acum_LazyPenalty,Acum_SteeringWhileStopped,Acum_ThrottleDuringGraceTime,Acum_BrakeDuringGraceTime,YieldValidationTime,StopValidationTime,Acum_SteeringInput,Acum_TargetSteering,CarIndex,Acum_ABS_Steering
﻿1,BP_VehicleAI219,-968.965501,2,BP_SpawnPoint13,COLLISION_WITH_NavModifierVolume8,901.454887,320.863087,253.313834,0.0,292.072067,61.167198,0.0,0.038639,0.0,253.352473,0.0,0.0,44.0,44.0,true,2.631314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.717165,5.717165,20,18.444095
﻿1,BP_VehicleAI237,-1545.119024,3,BP_SpawnPoint33,COLLISION_WITH_NavModifierVolume141,1632.31592,489.065503,575.651549,0.000827,380.053852,75.068834,0.441898,0.168951,0.0,576.262398,0.0,0.0,54.0,54.0,true,3.039732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.369253,-7.369253,38,22.892941
﻿1,BP_VehicleAI210,-1263.148353,3,BP_SpawnPoint29,COLLISION_WITH_NavModifierVolume49,1589.364474,384.947631,710.754886,0.000276,384.459535,76.458998,0.145091,0.263774,0.0,711.163752,0.0,0.0,55.0,55.0,true,3.095138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.97606,14.97606,11,24.156487
﻿1,BP_VehicleAI216,-1341.899717,3,BP_SpawnPoint30,COLLISION_WITH_NavModifierVolume44,2025.203572,399.470153,1081.931459,0.000408,411.54567,80.629488,0.234628,0.607921,0.0,1082.774008,0.0,0.0,58.0,58.0,true,3.276351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.667199,-12.667199,17,23.876526
﻿1,BP_VehicleAI239,-1415.8781,3,BP_SpawnPoint38,COLLISION_WITH_NavModifierVolume13,2160.091572,384.951593,1128.127643,0.000733,387.270045,83.409815,0.394266,0.643156,0.0,1129.165066,0.0,0.0,60.0,60.0,true,3.371223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.509954,-14.509954,40,22.520449
﻿1,BP_VehicleAI28,-1291.935829,3,BP_SpawnPoint20,COLLISION_WITH_NavModifierVolume25,2188.977932,313.659874,1209.632853,0.000549,404.526924,84.799979,0.310084,0.75904,0.0,1210.701977,0.0,0.0,61.0,61.0,true,3.395926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.242934,-8.242934,9,29.314943
﻿1,BP_VehicleAI222,-1978.492063,3,BP_SpawnPoint52,COLLISION_WITH_NavModifierVolume38,2242.532311,524.794147,788.247448,0.000683,404.198902,84.799979,0.389342,0.197605,0.0,788.834396,0.0,0.0,61.0,61.0,true,3.413916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.445894,0.445894,23,30.226739
﻿1,BP_VehicleAI217,-1282.996953,3,BP_SpawnPoint44,COLLISION_WITH_NavModifierVolume39,2188.071228,359.891188,1298.062748,0.000752,396.716753,86.190143,0.422564,0.637441,0.0,1299.122753,0.0,0.0,62.0,62.0,true,3.481564,0.0,0.0,0.0,0.025985,1.0,0.0,0.0,0.0,34.15729,0.0,0.0,0.0,0.0,3.465532,3.465532,18,32.515364
﻿1,BP_VehicleAI229,-1910.524986,3,BP_SpawnPoint3,COLLISION_WITH_BP_IntersectionBorder108,1983.380947,672.776207,745.181446,0.000615,356.938603,87.580306,0.272281,0.17844,0.0,745.632168,0.0,0.0,63.0,63.0,true,3.373029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.509566,22.509566,30,32.12789
﻿1,BP_VehicleAI25,-1477.128479,3,BP_SpawnPoint11,COLLISION_WITH_NavModifierVolume43,2483.185384,345.738801,1350.594637,0.000624,419.101673,88.97047,0.371361,0.829709,0.0,1351.795706,0.0,0.0,64.0,64.0,true,3.574191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.929367,-16.929367,6,23.400869
﻿1,BP_VehicleAI240,-1160.09756,3,BP_SpawnPoint10,COLLISION_WITH_NavModifierVolume24,2443.001854,305.633308,1587.293486,0.000416,417.970655,88.97047,0.240829,1.003286,0.0,1588.537602,0.0,0.0,64.0,64.0,true,3.537719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.363266,-2.363266,41,30.796721
﻿1,BP_VehicleAI228,-807.549031,3,BP_SpawnPoint40,COLLISION_WITH_NavModifierVolume34,1554.358258,406.634616,1229.808762,0.000155,440.776166,90.360633,0.094782,0.500692,0.0,1230.404236,0.0,0.0,65.0,65.0,true,3.283026,0.062943,0.0,0.062943,0.0,2.0,0.0,0.0,0.0,76.960394,0.0,0.0,0.0,0.0,7.761863,7.761863,29,19.013615
﻿1,BP_VehicleAI215,-1064.185663,3,BP_SpawnPoint31,COLLISION_WITH_NavModifierVolume33,2557.50925,291.895043,1783.87624,0.000412,408.934449,91.750797,0.234928,1.107462,0.0,1785.21863,0.0,0.0,66.0,66.0,true,3.703314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.318857,7.318857,16,34.43464
﻿1,BP_VehicleAI223,-1422.154799,3,BP_SpawnPoint35,COLLISION_WITH_NavModifierVolume33,2631.33699,340.044752,1547.866634,0.000603,468.030537,91.750797,0.40003,0.960279,0.0,1549.226943,0.0,0.0,66.0,66.0,true,3.647957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.521648,2.521648,24,31.112448
﻿1,BP_VehicleAI220,-998.972143,3,BP_SpawnPoint15,COLLISION_WITH_NavModifierVolume7,1541.657399,578.279048,1120.732172,0.000032,471.19923,94.531124,0.02133,0.210801,0.0,1120.964303,0.0,0.0,68.0,68.0,true,3.78124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.888314,10.888314,21,29.892196
﻿1,BP_VehicleAI23,-1124.08007,3,BP_SpawnPoint,COLLISION_WITH_NavModifierVolume62,2659.027683,325.34673,1858.864278,0.000455,461.687493,95.921288,0.290588,1.139477,0.0,1860.294343,0.0,0.0,69.0,69.0,true,3.721746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.341715,2.341715,4,32.140027
﻿1,BP_VehicleAI241,-1424.122822,3,BP_SpawnPoint28,COLLISION_WITH_NavModifierVolume50,2843.599896,317.848256,1735.934354,0.000464,464.841629,95.921288,0.298747,1.092229,0.0,1737.32533,0.0,0.0,69.0,69.0,true,3.781935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.518758,-5.518758,42,28.950866
﻿1,BP_VehicleAI211,-1682.24674,3,BP_SpawnPoint41,COLLISION_WITH_NavModifierVolume52,2671.658677,398.107822,1489.596429,0.000806,460.447151,97.311451,0.501909,0.866548,0.0,1490.964886,0.0,0.0,70.0,70.0,true,3.768617,0.061753,0.0,0.061753,0.0,2.0,0.0,0.0,0.0,103.445127,0.0,0.0,0.0,0.0,-2.613657,-2.613657,12,34.215593
﻿1,BP_VehicleAI214,-1373.335903,3,BP_SpawnPoint24,COLLISION_WITH_BP_IntersectionBorder25,2936.185821,336.508894,1897.65796,0.000847,445.809714,97.311451,0.544724,1.156128,0.0,1899.358812,0.0,0.0,70.0,70.0,true,3.892024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.736539,7.736539,15,33.443164
﻿1,BP_VehicleAI246,-1172.543965,3,BP_SpawnPoint25,COLLISION_WITH_BP_IntersectionBorder34,2985.689886,305.822182,2117.393173,0.000419,485.81538,98.701615,0.282509,1.292421,0.0,2118.968103,0.0,0.0,71.0,71.0,true,3.940709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.468642,10.468642,47,32.589677
﻿1,BP_VehicleAI213,-1578.470608,3,BP_SpawnPoint19,COLLISION_WITH_NavModifierVolume23,3182.150783,349.592903,1951.745739,0.000498,469.051212,100.091779,0.330912,1.196426,0.0,1953.273077,0.0,0.0,72.0,72.0,true,3.963406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.63241,-6.63241,14,23.63905
﻿1,BP_VehicleAI27,-1684.914156,3,BP_SpawnPoint18,COLLISION_WITH_NavModifierVolume27,3200.747601,364.52504,1878.800854,0.000679,490.931629,101.481942,0.462469,1.095161,0.0,1880.358484,0.0,0.0,73.0,73.0,true,4.023611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.656666,-1.656666,8,27.522312
﻿1,BP_VehicleAI20,-1839.734322,4,BP_SpawnPoint26,COLLISION_WITH_NavModifierVolume30,3366.728051,457.217062,1983.132281,0.000189,496.377418,102.872106,0.130867,0.947644,0.0,1984.210791,0.0,0.0,74.0,74.0,true,4.049884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.059163,12.059163,1,28.247218
﻿1,BP_VehicleAI231,-1189.226554,4,BP_SpawnPoint14,COLLISION_WITH_NavModifierVolume50,3041.516527,306.703629,2157.341898,0.000574,523.036974,104.262269,0.418291,1.233414,0.0,2158.993602,0.0,0.0,75.0,75.0,true,3.997699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.089268,-6.089268,32,29.065904
﻿1,BP_VehicleAI221,2743.898101,4,BP_SpawnPoint36,CORRECTINGWRONG,0.0,7.075288,2750.224627,0.000121,336.622517,102.872106,0.056214,1.905291,0.0,2752.186132,1.212743,0.0,74.0,77.0,true,4.104063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,8.595066,8.595066,22,31.510106
﻿1,BP_VehicleAI235,-2857.393668,4,BP_SpawnPoint49,COLLISION_WITH_BP_IntersectionBorder111,3981.561091,648.745433,1771.549456,0.002879,444.031072,107.042597,0.705098,0.658301,0.0,1772.912856,0.0,0.0,77.0,77.0,true,4.202345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.787768,4.787768,36,25.168988
