Generación,MejorFitnessNorm,FitnessMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular,N
﻿1,-1341.576045,9109.451219,22.647059,COLLISION_WITH_NavModifierVolume7,STOP_VIOLATION,8,51
﻿2,23877.946338,4776.945793,12.705882,STOP_VIOLATION,LAZY,12,51
﻿3,6584.27761,5550.224982,20.941176,COLLISION_WITH_NavModifierVolume46,LAZY,15,51
﻿4,577.104961,1586.653735,11.686275,COLLISION_WITH_NavModifierVolume10,LAZY,31,51
﻿5,30241.746253,4014.380767,15.568627,COLLISION_WITH_NavModifierVolume2,LAZY,26,51
﻿6,3780.821393,893.010934,8.843137,COLLISION_WITH_NavModifierVolume22,LAZY,19,51
﻿7,5933.782031,1333.076524,7.54902,COLLISION_WITH_NavModifierVolume29,LAZY,13,51
﻿8,50994.324541,2047.614736,10.294118,TIMEFINISHED,LAZY,31,51
﻿9,8817.528054,2429.857928,10.823529,STOP_VIOLATION,LAZY,19,51
﻿10,28848.387027,1873.110026,9.843137,LAZY,LAZY,24,51
﻿11,16335.535988,2358.141671,11.627451,LAZY,LAZY,24,51
﻿12,5336.944411,653.473648,6.490196,LAZY,LAZY,21,51
﻿13,6928.207107,1082.165666,8.117647,COLLISION_WITH_NavModifierVolume46,LAZY,27,51
﻿14,48421.731218,2657.672832,10.941176,COLLISION_WITH_BP_IntersectionBorder229,LAZY,28,51
﻿15,8278.373486,687.015682,7.54902,COLLISION_WITH_BP_IntersectionBorder86,LAZY,35,51
﻿16,6455.934031,1150.06959,7.941176,COLLISION_WITH_NavModifierVolume58,LAZY,34,51
﻿17,11317.581898,639.499807,8.098039,STOP_VIOLATION,LAZY,32,51
﻿18,15117.208434,1601.715665,11.039216,LAZY,LAZY,17,51
﻿19,20574.24573,2335.482088,11.176471,TIMEFINISHED,LAZY,23,51
﻿20,11723.722674,1339.665455,9.607843,COLLISION_WITH_NavModifierVolume19,LAZY,31,51
﻿21,4781.407562,790.635018,6.098039,STOP_VIOLATION,LAZY,32,51
﻿22,11974.594965,1896.832271,9.372549,COLLISION_WITH_NavModifierVolume54,LAZY,33,51
﻿23,3085.132878,1981.428332,12.470588,STOP_VIOLATION,LAZY,24,51
﻿24,12380.754189,1477.068252,11.235294,COLLISION_WITH_NavModifierVolume53,LAZY,28,51
﻿25,12927.9995,2246.953177,12.764706,STOP_VIOLATION,LAZY,35,51
﻿26,10757.28193,652.179398,12.843137,COLLISION_WITH_NavModifierVolume19,LAZY,29,51
﻿27,3660.491343,954.211616,8.137255,STOP_VIOLATION,LAZY,30,51
﻿28,8450.901177,1618.896033,8.235294,COLLISION_WITH_NavModifierVolume43,LAZY,24,51
﻿29,3832.621963,3067.102355,12.72549,LAZY,LAZY,28,51
﻿30,3817.59136,971.757241,9.0,COLLISION_WITH_BP_IntersectionBorder147,LAZY,18,51
﻿31,5901.507681,780.213427,7.27451,STOP_VIOLATION,LAZY,32,51
﻿32,10611.039098,1824.506558,9.529412,COLLISION_WITH_BP_IntersectionBorder229,LAZY,26,51
﻿33,15950.682601,1792.125778,12.333333,COLLISION_WITH_NavModifierVolume22,LAZY,32,51
﻿34,13815.681588,1504.720005,10.647059,STOP_VIOLATION,LAZY,26,51
﻿35,17986.910565,2181.555448,9.705882,COLLISION_WITH_BP_IntersectionBorder214,LAZY,28,51
﻿36,5730.997642,2070.052129,9.058824,STOP_VIOLATION,LAZY,25,51
﻿37,15513.485468,890.379363,9.666667,LAZY,LAZY,25,51
﻿38,4712.581866,1063.369819,11.705882,LAZY,LAZY,33,51
﻿39,8805.102097,1969.458694,8.607843,COLLISION_WITH_BP_IntersectionBorder86,LAZY,31,51
﻿40,6168.612843,1644.016144,8.921569,STOP_VIOLATION,LAZY,28,51
﻿41,16424.411039,758.78445,7.568627,COLLISION_WITH_BP_IntersectionBorder72,LAZY,32,51
﻿42,26270.233226,1880.676467,9.294118,COLLISION_WITH_BP_IntersectionBorder220,LAZY,20,51
﻿43,3413.024899,507.837167,7.039216,STOP_VIOLATION,LAZY,31,51
﻿44,4302.345421,1816.828598,11.137255,COLLISION_WITH_NavModifierVolume141,LAZY,31,51
﻿45,33241.396312,2370.385005,11.411765,COLLISION_WITH_NavModifierVolume8,LAZY,31,51
﻿46,23953.704304,2175.857021,11.705882,COLLISION_WITH_NavModifierVolume53,LAZY,13,51
﻿47,10058.869335,1727.796146,11.411765,LAZY,LAZY,23,51
﻿48,2843.016353,2801.049466,13.392157,COLLISION_WITH_NavModifierVolume43,LAZY,18,51
﻿49,8617.531592,1178.875378,10.372549,STOP_VIOLATION,LAZY,23,51
﻿50,18970.968553,1841.497274,10.313725,COLLISION_WITH_NavModifierVolume10,LAZY,31,51
﻿51,5884.70412,1077.508025,8.215686,STOP_VIOLATION,LAZY,13,51
﻿52,21236.463181,1792.278634,9.196078,COLLISION_WITH_NavModifierVolume53,LAZY,22,51
﻿53,3384.004808,899.458806,7.705882,COLLISION_WITH_BP_IntersectionBorder86,LAZY,28,51
﻿54,69133.684751,3065.358844,10.411765,COLLISION_WITH_NavModifierVolume141,LAZY,24,51
﻿55,1794.355529,3230.753557,12.137255,STOP_VIOLATION,LAZY,14,51
﻿56,13973.971477,938.248321,7.196078,STOP_VIOLATION,LAZY,17,51
﻿57,23269.081114,1244.649168,7.372549,LAZY,LAZY,25,51
﻿58,11049.937824,1387.75475,7.666667,STOP_VIOLATION,LAZY,29,51
﻿59,5782.613033,1368.107214,7.352941,STOP_VIOLATION,LAZY,26,51
﻿60,18830.872028,2597.508403,9.352941,COLLISION_WITH_NavModifierVolume43,LAZY,12,51
﻿61,21927.409376,977.684855,9.352941,LAZY,LAZY,30,51
﻿62,6649.241975,2474.514161,11.666667,COLLISION_WITH_NavModifierVolume58,LAZY,28,51
﻿63,32490.438952,3172.238458,9.509804,LAZY,LAZY,14,51
﻿64,6938.370618,1019.855176,8.137255,COLLISION_WITH_NavModifierVolume8,LAZY,25,51
﻿65,11073.613677,2908.869393,9.901961,COLLISION_WITH_NavModifierVolume2,LAZY,29,51
﻿66,16808.979732,1845.534218,9.431373,LAZY,LAZY,12,51
﻿67,6644.885814,1158.876869,7.137255,STOP_VIOLATION,LAZY,20,51
﻿68,24763.430198,1134.659827,6.019608,COLLISION_WITH_NavModifierVolume22,LAZY,12,51
﻿69,1705.937108,649.4302,6.568627,COLLISION_WITH_NavModifierVolume22,LAZY,11,51
﻿70,24415.157218,985.36461,7.431373,YIELD_VIOLATION,LAZY,19,51
﻿71,4906.632313,1180.111705,10.176471,COLLISION_WITH_NavModifierVolume19,LAZY,29,51
﻿72,75001.69444,3367.811215,12.137255,TIMEFINISHED,LAZY,14,51
﻿73,4200.022636,1890.177428,10.470588,COLLISION_WITH_BP_IntersectionBorder147,LAZY,10,51
﻿74,5475.478009,1858.656596,7.941176,COLLISION_WITH_NavModifierVolume22,LAZY,29,51
﻿75,16948.533058,2105.679904,11.627451,LAZY,LAZY,16,51
﻿76,37843.492825,2461.457303,9.509804,COLLISION_WITH_BP_IntersectionBorder221,LAZY,7,51
﻿77,14194.756389,1377.127976,7.901961,COLLISION_WITH_NavModifierVolume30,LAZY,10,51
﻿78,77448.681506,3094.007976,10.764706,TIMEFINISHED,LAZY,19,51
﻿79,6564.973142,3451.620833,13.235294,COLLISION_WITH_NavModifierVolume58,LAZY,20,51
﻿80,5282.441431,1591.567372,8.411765,COLLISION_WITH_NavModifierVolume22,LAZY,34,51
﻿81,11682.740702,2065.827613,10.27451,STOP_VIOLATION,LAZY,31,51
﻿82,79291.267912,2941.788652,11.686275,TIMEFINISHED,LAZY,26,51
﻿83,24244.902099,4551.101817,14.54902,COLLISION_WITH_NavModifierVolume53,LAZY,10,51
﻿84,26657.298247,2146.464951,8.411765,COLLISION_WITH_BP_IntersectionBorder206,LAZY,12,51
﻿85,23091.968065,2693.199193,10.509804,COLLISION_WITH_NavModifierVolume59,LAZY,27,51
﻿86,7849.495959,2677.588119,8.647059,COLLISION_WITH_NavModifierVolume21,LAZY,11,51
﻿87,4475.155023,1591.636699,9.078431,COLLISION_WITH_NavModifierVolume23,LAZY,30,51
﻿88,57117.656196,4329.743911,15.666667,LAZY,LAZY,30,51
﻿89,13569.455608,2402.743879,10.764706,COLLISION_WITH_NavModifierVolume46,LAZY,16,51
﻿90,14946.285021,1824.249633,8.27451,LAZY,LAZY,25,51
﻿91,38450.471672,3161.849125,10.960784,COLLISION_WITH_NavModifierVolume32,LAZY,28,51
﻿92,15795.876386,3507.405927,11.372549,COLLISION_WITH_NavModifierVolume54,LAZY,16,51
﻿93,48380.966814,3005.550884,11.372549,STOP_VIOLATION,LAZY,17,51
﻿94,12527.427531,1917.805146,10.705882,COLLISION_WITH_NavModifierVolume30,LAZY,21,51
﻿95,58632.450963,3893.693619,11.313725,TIMEFINISHED,LAZY,31,51
﻿96,58530.643329,4219.476966,12.098039,TIMEFINISHED,LAZY,17,51
﻿97,31032.067152,3752.383833,12.647059,COLLISION_WITH_NavModifierVolume9,LAZY,26,51
﻿98,7191.972175,2352.399196,11.509804,LAZY,LAZY,32,51
﻿99,12245.779519,1939.384408,9.392157,COLLISION_WITH_NavModifierVolume53,LAZY,33,51
﻿100,9948.155572,1849.634306,8.72549,COLLISION_WITH_NavModifierVolume43,LAZY,23,51
﻿101,80977.258208,4170.394406,14.196078,TIMEFINISHED,LAZY,25,51
﻿102,41397.931905,3598.686232,13.294118,COLLISION_WITH_BP_IntersectionBorder123,LAZY,20,51
﻿103,24330.591936,2305.23834,10.117647,LAZY,LAZY,24,51
﻿104,11893.946694,1672.226111,8.882353,STOP_VIOLATION,LAZY,18,51
﻿105,31729.628012,1263.798316,7.0,COLLISION_WITH_NavModifierVolume133,LAZY,26,51
