Generacion,CarID,Fitness_Final,Tiempo_Vivo,SpawnID,Razon_Muerte,Penalty_Muerte,Acum_PenaltyVelocidad,Acum_A,Media_B,Acum_C,Acum_D,Acum_E,Acum_F,Acum_WaitBonus,Acum_NetNormal,Acum_PenaltyCorrectingWrong,Acum_PenaltyTrafficViolation,Ticks_Normal,Ticks_Total,TrainingMode,Acum_ThrottlePos,Acum_BrakeInput,CoastTime,Acum_StopBrake,Acum_StopThrottle,Ticks_StopContext,Acum_CreepingPenalty,Acum_ReversePenalty,Acum_LazyPenalty,Acum_SteeringWhileStopped,Acum_ThrottleDuringGraceTime,Acum_BrakeDuringGraceTime,YieldValidationTime,StopValidationTime,Acum_SteeringInput,Acum_TargetSteering,CarIndex,Acum_ABS_Steering,Ticks_StopContext_TrafficLight,Ticks_StopContext_Stop,Ticks_StopContext_Yield,MutNumChanged,MutAvgMagnitude,MutNumLarge,MutParentFitness
﻿1,BP_VehicleAI27,310.571206,5,BP_SpawnPoint52,COLLISION_WITH_NavModifierVolume38,422.195421,386.59631,1118.856572,0.000231,539.785785,112.603251,0.171674,0.33469,0.0,1119.362936,0.0,0.0,81.0,81.0,true,3.102876,0.104412,0.06155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.612411,8.612411,8,35.346065,0.0,0.0,0.0,0,0.0,0,0.0
﻿1,BP_VehicleAI240,-63.570131,5,BP_SpawnPoint42,COLLISION_WITH_NavModifierVolume10,207.306672,88.397132,2281.276674,0.000172,578.870609,115.383578,0.139003,1.190508,0.0,2282.606185,0.0,745.431203,83.0,83.0,true,3.000847,0.385489,0.237002,0.385489,0.004524,22.0,114.263184,0.0,0.0,1190.778124,0.0,0.0,0.0,0.0,36.665099,36.665099,41,48.934764,22.0,0.0,0.0,0,0.0,0,0.0
﻿1,BP_VehicleAI25,-175.80873,6,BP_SpawnPoint41,COLLISION_WITH_BP_IntersectionBorder208,968.024098,757.15246,1606.320402,0.000496,696.167403,150.137668,0.455368,0.417502,0.0,1607.193271,0.0,0.0,108.0,108.0,true,3.77665,0.016425,0.895814,0.0,0.009466,1.0,0.0,0.0,0.0,57.825444,0.0,0.0,0.0,0.0,15.506033,15.506033,6,48.314935,0.0,0.0,1.0,0,0.0,0,0.0
﻿1,BP_VehicleAI28,2966.55864,6,BP_SpawnPoint36,COLLISION_WITH_NavModifierVolume21,460.139011,301.059988,4756.532265,0.000281,500.103801,154.308159,0.196852,3.562751,0.0,4760.291868,0.0,0.0,111.0,111.0,true,4.590167,0.996598,0.0,0.996598,0.0,19.0,0.0,0.0,0.0,1032.534229,0.0,0.0,0.0,0.0,24.338523,24.338523,9,55.216339,0.0,0.0,19.0,0,0.0,0,0.0
﻿1,BP_VehicleAI241,-36.370377,6,BP_SpawnPoint5,COLLISION_WITH_BP_IntersectionBorder116,1305.582521,1232.062467,2560.795034,0.000809,515.204122,154.308159,0.569076,0.973301,0.0,2562.337411,0.0,0.0,111.0,111.0,true,4.186333,0.127542,0.421696,0.053618,0.0,1.0,0.0,0.0,0.0,61.062799,0.0,0.0,0.0,0.0,22.032621,22.032621,42,53.752625,0.0,0.0,1.0,0,0.0,0,0.0
﻿1,BP_VehicleAI23,861.956809,8,BP_SpawnPoint22,COLLISION_WITH_BP_IntersectionBorder50,875.943782,756.171773,2492.593666,0.000545,883.697554,182.11143,0.639033,0.839666,0.0,2494.072364,0.0,0.0,131.0,131.0,true,4.128415,0.153876,0.538343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.130247,22.130247,4,56.07393,0.0,0.0,0.0,0,0.0,0,0.0
﻿1,BP_VehicleAI229,1097.657046,8,BP_SpawnPoint7,COLLISION_WITH_BP_IntersectionBorder177,830.032889,844.039248,2827.990183,0.000491,866.885793,187.672085,0.600622,1.044233,0.0,2829.635038,0.0,0.0,135.0,135.0,true,3.944012,0.121082,1.50801,0.0,0.016748,1.0,0.0,0.0,0.0,57.905855,0.0,0.0,0.0,0.0,25.935479,25.935479,30,52.704726,0.0,0.0,1.0,0,0.0,0,0.0
﻿1,BP_VehicleAI230,901.127732,8,BP_SpawnPoint2,COLLISION_WITH_BP_IntersectionBorder173,1232.500241,948.445157,3080.012946,0.000693,925.777782,197.40323,0.823235,1.236949,0.0,3082.07313,0.0,0.0,142.0,142.0,true,4.56643,0.193107,0.553322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.769209,11.769209,31,57.50585,0.0,0.0,0.0,0,0.0,0,0.0
﻿1,BP_VehicleAI244,-2146.011723,9,BP_SpawnPoint50,STOP_VIOLATION,0.0,0.696048,1623.719231,0.000135,1009.266678,205.744211,0.189419,0.735113,627.458125,1624.643763,0.0,0.0,148.0,148.0,true,2.788718,2.182206,0.0,2.182206,0.0,93.0,91.107111,0.000003,0.0,4306.310449,0.0,0.0,0.0,4.7,72.890648,72.890648,45,95.984511,0.0,93.0,0.0,0,0.0,0,0.0
﻿1,BP_VehicleAI22,-191.323639,9,BP_SpawnPoint44,COLLISION_WITH_NavModifierVolume51,1750.156676,1252.280725,2867.320492,0.00105,928.155002,207.134375,1.04803,0.900314,0.0,2869.268836,0.0,0.0,149.0,149.0,true,5.144674,0.175845,1.696036,0.0,0.004846,1.0,0.0,0.0,0.0,58.155073,0.0,0.0,0.0,0.0,55.405944,55.405944,3,81.523249,0.0,0.0,1.0,0,0.0,0,0.0
﻿1,BP_VehicleAI246,1363.388457,9,BP_SpawnPoint45,COLLISION_WITH_BP_IntersectionBorder124,1210.855489,966.162759,3538.015323,0.000667,949.403864,208.524539,0.782406,1.608977,0.0,3540.406705,0.0,0.0,150.0,150.0,true,4.494378,0.164116,1.520575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.433536,22.433536,47,61.199694,0.0,0.0,0.0,0,0.0,0,0.0
﻿1,BP_VehicleAI210,2110.860642,9,BP_SpawnPoint3,COLLISION_WITH_BP_IntersectionBorder86,1396.908512,871.537247,4375.201302,0.003332,929.241477,214.085193,1.650529,2.45457,0.0,4379.306401,0.0,0.0,154.0,154.0,true,5.144807,0.334483,0.424469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.310076,21.310076,11,69.496624,0.0,0.0,0.0,0,0.0,0,0.0
﻿1,BP_VehicleAI26,1908.33463,9,BP_SpawnPoint46,COLLISION_WITH_NavModifierVolume37,1080.79962,1249.123588,4235.527646,0.000515,1086.007245,223.816338,0.672756,2.057436,0.0,4238.257838,0.0,0.0,161.0,161.0,true,4.733637,0.129422,2.323397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.014267,-19.014267,7,63.023622,0.0,0.0,0.0,0,0.0,0,0.0
﻿1,BP_VehicleAI227,1550.438921,10,BP_SpawnPoint48,COLLISION_WITH_NavModifierVolume16,1326.065212,1476.607602,4350.330642,0.000481,1047.93714,229.376993,0.629739,2.151353,0.0,4353.111735,0.0,0.0,165.0,165.0,true,5.382506,0.149514,2.198972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.100692,-15.100692,28,73.620953,0.0,0.0,0.0,0,0.0,0,0.0
