Generacion,CarID,Fitness_Final,Tiempo_Vivo,SpawnID,Razon_Muerte,Penalty_Muerte,Acum_PenaltyVelocidad,Acum_A,Media_B,Acum_C,Acum_D,Acum_E,Acum_F,Acum_WaitBonus,Acum_NetNormal,Acum_PenaltyCorrectingWrong,Acum_PenaltyTrafficViolation,Ticks_Normal,Ticks_Total,TrainingMode,Acum_ThrottlePos,Acum_BrakeInput,CoastTime,Acum_StopBrake,Acum_StopThrottle,Ticks_StopContext,Acum_CreepingPenalty,Acum_ReversePenalty,Acum_LazyPenalty,Acum_SteeringWhileStopped,Acum_ThrottleDuringGraceTime,Acum_BrakeDuringGraceTime,YieldValidationTime,StopValidationTime,Acum_SteeringInput,Acum_TargetSteering,CarIndex,Acum_ABS_Steering,Ticks_StopContext_TrafficLight,Ticks_StopContext_Stop,Ticks_StopContext_Yield,MutNumChanged,MutAvgMagnitude,MutNumLarge,MutParentFitness,Acum_SteerApproachPenalty,NumStopZonesEntered,NotNorm_PeakFitness
﻿1,BP_VehicleAI224,-407.074482,3,BP_SpawnPoint42,COLLISION_WITH_NavModifierVolume10,42.747523,27.429333,1421.438924,0.000193,634.004281,126.504887,0.171601,0.614692,0.0,1422.225218,0.0,365.053561,91.0,91.0,true,1.756156,0.464148,0.032654,0.464148,0.0,25.0,63.34786,0.0,0.0,905.97893,0.0,0.0,0.0,0.0,42.094917,42.094917,25,53.666717,25.0,0.0,0.0,0,0.0,0,0.0,424.742494,1,1051.239914
﻿1,BP_VehicleAI216,-39.278326,5,BP_SpawnPoint41,COLLISION_WITH_BP_IntersectionBorder192,794.578954,334.218902,1088.53436,0.000666,844.394437,183.501594,0.710652,0.274518,0.0,1089.51953,0.0,0.0,132.0,132.0,true,2.329507,0.078524,0.044902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.371494,19.371494,17,58.1013,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,903.45455
﻿1,BP_VehicleAI28,549.461772,5,BP_SpawnPoint5,COLLISION_WITH_BP_IntersectionBorder117,694.38267,599.452731,1841.502138,0.001052,650.718915,190.452412,1.046885,0.748149,0.0,1843.297172,0.0,0.0,137.0,137.0,true,2.371111,0.088308,0.677257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.41875,40.41875,9,63.413999,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,1423.429139
﻿1,BP_VehicleAI223,3071.713398,8,BP_SpawnPoint34,COLLISION_WITH_NavModifierVolume22,212.674554,109.652903,3389.934112,0.002591,1478.389005,322.517953,2.388409,1.718334,0.0,3394.040855,0.0,0.0,232.0,232.0,true,2.779321,0.143231,1.939478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.854649,61.854649,24,96.856321,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,3284.387953
﻿1,BP_VehicleAI222,1920.48036,8,BP_SpawnPoint29,COLLISION_WITH_NavModifierVolume19,86.991144,53.111635,2059.478461,0.000184,1796.089199,330.858935,0.474057,0.630622,0.0,2060.58314,0.0,0.0,238.0,238.0,true,2.071887,0.170051,2.919282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.78227,84.78227,23,109.010611,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,2007.471504
﻿1,BP_VehicleAI211,4170.296671,9,BP_SpawnPoint37,COLLISION_WITH_BP_IntersectionBorder200,448.956661,325.894902,4941.748203,0.00016,1989.61118,394.80646,0.443907,2.956124,0.0,4945.148234,0.0,0.0,284.0,284.0,true,3.225846,0.145078,1.78852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.182824,-17.182824,12,82.029106,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,4687.264616
﻿1,BP_VehicleAI210,2184.967313,10,BP_SpawnPoint48,COLLISION_WITH_BP_IntersectionBorder117,761.603286,1193.075239,4135.898615,0.00089,1803.723259,433.73104,1.963362,1.783861,0.0,4139.645838,0.0,0.0,312.0,312.0,true,3.732481,0.248264,1.782122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.219542,-22.219542,11,127.45211,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,3171.789419
﻿1,BP_VehicleAI218,4134.508964,12,BP_SpawnPoint43,COLLISION_WITH_BP_IntersectionBorder149,1899.752359,950.794485,6978.578316,0.000697,2517.052481,560.235927,2.035779,4.441713,0.0,6985.055808,0.0,0.0,403.0,403.0,true,4.993117,0.259168,1.559525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.608177,-9.608177,19,142.707,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,6366.72526
﻿1,BP_VehicleAI22,6696.834534,12,BP_SpawnPoint2,COLLISION_WITH_BP_IntersectionBorder147,812.866554,353.114783,7855.05497,0.000522,2683.436817,561.626091,1.937113,5.823789,0.0,7862.815872,0.0,0.0,404.0,404.0,true,3.689064,0.197744,3.11832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.366554,28.366554,3,102.138607,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,7638.594803
﻿1,BP_VehicleAI26,5472.788439,16,BP_SpawnPoint35,COLLISION_WITH_NavModifierVolume43,1398.025619,622.124737,7486.505401,0.000555,3605.368642,739.56703,2.267199,4.166195,0.0,7492.938795,0.0,0.0,532.0,532.0,true,5.364489,0.48122,2.852404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.030746,121.030746,7,199.77884,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,7120.322856
