Generación,MejorFitnessNorm,FitnessMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular,N
﻿1,-0.858474,-24.736132,3.0,LAZY,LAZY,50,50
﻿2,2865.118895,-121.976702,3.28,STOP_VIOLATION,LAZY,28,50
﻿3,3110.053158,-42.897993,3.76,COLLISION_WITH_NavModifierVolume12,LAZY,22,50
﻿4,5182.796961,-160.510133,4.74,COLLISION_WITH_NavModifierVolume140,LAZY,14,50
﻿5,14036.8091,169.802625,3.98,COLLISION_WITH_NavModifierVolume12,LAZY,13,50
﻿6,6308.468053,472.542166,4.36,COLLISION_WITH_NavModifierVolume7,LAZY,14,50
﻿7,6252.833685,30.175035,3.58,COLLISION_WITH_NavModifierVolume20,LAZY,17,50
﻿8,1525.96601,210.810994,3.72,CORRECTINGWRONG,LAZY,19,50
﻿9,1228.37513,67.124019,3.84,COLLISION_WITH_NavModifierVolume62,LAZY,15,50
﻿10,21.44634,381.136307,4.24,LAZY,LAZY,21,50
﻿11,8069.880113,-25.128071,3.7,COLLISION_WITH_BP_IntersectionBorder97,LAZY,20,50
﻿12,263.713457,148.34742,3.82,LAZY,LAZY,16,50
﻿13,338.043246,-51.705683,3.72,LAZY,LAZY,19,50
﻿14,10266.507849,250.397856,3.98,COLLISION_WITH_NavModifierVolume46,LAZY,17,50
﻿15,1507.392911,160.920625,3.74,COLLISION_WITH_NavModifierVolume21,LAZY,17,50
﻿16,1052.271074,207.746117,3.86,COLLISION_WITH_NavModifierVolume141,LAZY,23,50
﻿17,142.606518,33.984157,3.72,COLLISION_WITH_NavModifierVolume12,LAZY,18,50
﻿18,6205.747149,245.421583,3.9,COLLISION_WITH_NavModifierVolume20,LAZY,17,50
﻿19,2919.60997,164.02093,3.48,COLLISION_WITH_BP_IntersectionBorder190,LAZY,18,50
﻿20,2652.409483,-130.620728,4.5,STOP_VIOLATION,LAZY,15,50
﻿21,5014.712495,-188.87616,4.4,COLLISION_WITH_BP_IntersectionBorder125,LAZY,20,50
﻿22,2884.440107,132.638265,3.88,COLLISION_WITH_NavModifierVolume2,LAZY,15,50
﻿23,885.773587,22.352331,3.78,COLLISION_WITH_NavModifierVolume16,LAZY,17,50
﻿24,9593.695995,-95.422694,3.88,COLLISION_WITH_NavModifierVolume39,LAZY,17,50
﻿25,14045.952851,336.078469,3.9,COLLISION_WITH_NavModifierVolume20,LAZY,22,50
﻿26,2576.897109,-275.606278,3.88,COLLISION_WITH_NavModifierVolume47,LAZY,14,50
﻿27,7524.654211,414.08581,4.28,CORRECTINGWRONG,LAZY,18,50
