Generacion,CarID,Fitness_Final,Tiempo_Vivo,SpawnID,Razon_Muerte,Penalty_Muerte,Acum_PenaltyVelocidad,Acum_A,Media_B,Acum_C,Acum_D,Acum_E,Acum_F,Acum_WaitBonus,Acum_NetNormal,Acum_PenaltyCorrectingWrong,Acum_PenaltyTrafficViolation,Ticks_Normal,Ticks_Total
﻿1,BP_VehicleAI228,403.387326,2,BP_SpawnPoint36,COLLISION_WITH_NavModifierVolume21,364.35937,213.250276,685.964273,0.000632,214.439277,69.50818,0.185166,294.847533,0.0,980.996972,0.0,0.0,50.0,50.0
﻿1,BP_VehicleAI231,54.742945,3,BP_SpawnPoint33,LAZY,15.756276,0.0,67.647634,0.0,356.549998,70.898343,0.00002,2.851568,0.0,70.499222,0.0,0.0,51.0,51.0
﻿1,BP_VehicleAI225,472.553817,3,BP_SpawnPoint4,COLLISION_WITH_NavModifierVolume8,78.371718,87.027543,502.31684,0.000076,380.998596,72.288507,0.040562,135.595675,0.0,637.953078,0.0,0.0,52.0,52.0
﻿1,BP_VehicleAI247,620.877883,3,BP_SpawnPoint8,COLLISION_WITH_NavModifierVolume20,120.663192,157.557674,637.927718,0.002363,252.297034,73.67867,0.798058,260.372974,0.0,899.098749,0.0,0.0,53.0,53.0
﻿1,BP_VehicleAI219,720.554224,3,BP_SpawnPoint5,COLLISION_WITH_NavModifierVolume16,385.876547,256.663778,889.496562,0.0,250.007892,75.068834,0.0,473.597987,0.0,1363.094549,0.0,0.0,54.0,54.0
﻿1,BP_VehicleAI220,741.234782,3,BP_SpawnPoint45,COLLISION_WITH_NavModifierVolume18,136.973142,160.593746,730.212733,0.000328,339.144532,76.458998,0.157415,308.431521,0.0,1038.801669,0.0,0.0,55.0,55.0
﻿1,BP_VehicleAI25,786.83629,3,BP_SpawnPoint49,COLLISION_WITH_NavModifierVolume14,69.739712,151.409798,723.898258,0.000198,343.594056,77.849161,0.095291,283.992252,0.0,1007.9858,0.0,0.0,56.0,56.0
﻿1,BP_VehicleAI226,971.930882,3,BP_SpawnPoint3,COLLISION_WITH_NavModifierVolume21,214.504639,197.110273,925.995458,0.0002,353.968485,80.629488,0.098626,457.45171,0.0,1383.545794,0.0,0.0,58.0,58.0
﻿1,BP_VehicleAI222,1195.813096,3,BP_SpawnPoint2,COLLISION_WITH_NavModifierVolume10,116.41335,212.355782,1010.172861,0.000516,389.680741,86.190143,0.283741,514.125625,0.0,1524.582227,0.0,0.0,62.0,62.0
﻿1,BP_VehicleAI237,1248.279531,3,BP_SpawnPoint43,COLLISION_WITH_NavModifierVolume2,275.816618,230.612428,1131.143495,0.000279,417.307321,86.190143,0.162836,623.402245,0.0,1754.708576,0.0,0.0,62.0,62.0
﻿1,BP_VehicleAI21,1493.844417,3,BP_SpawnPoint39,COLLISION_WITH_NavModifierVolume12,394.309215,288.163579,1345.479076,0.000262,422.153515,91.750797,0.153762,830.684372,0.0,2176.317211,0.0,0.0,66.0,66.0
﻿1,BP_VehicleAI246,1446.220385,3,BP_SpawnPoint7,COLLISION_WITH_NavModifierVolume12,159.237185,279.781481,1202.497443,0.000531,385.719808,91.750797,0.281007,682.460601,0.0,1885.239051,0.0,0.0,66.0,66.0
﻿1,BP_VehicleAI213,425.404109,3,BP_SpawnPoint24,COLLISION_WITH_NavModifierVolume9,13.08714,69.890364,413.825821,0.000312,397.805082,93.140961,0.175058,94.380735,0.0,508.381614,0.0,0.0,67.0,67.0
﻿1,BP_VehicleAI234,1832.551824,3,BP_SpawnPoint15,COLLISION_WITH_NavModifierVolume7,331.565517,291.757293,1508.808884,0.000023,493.464982,98.701615,0.015937,947.049813,0.0,2455.874634,0.0,0.0,71.0,71.0
﻿1,BP_VehicleAI248,1788.56363,3,BP_SpawnPoint16,COLLISION_WITH_NavModifierVolume5,405.297018,284.920436,1510.927144,0.000388,502.246608,98.701615,0.28345,967.57049,0.0,2478.781084,0.0,0.0,71.0,71.0
﻿1,BP_VehicleAI238,2065.702513,3,BP_SpawnPoint28,COLLISION_WITH_NavModifierVolume18,455.65844,274.902917,1661.306944,0.000651,478.274512,101.481942,0.431814,1134.525111,0.0,2796.26387,0.0,0.0,73.0,73.0
﻿1,BP_VehicleAI244,1972.767825,3,BP_SpawnPoint41,COLLISION_WITH_NavModifierVolume10,426.441609,292.52932,1616.848443,0.000467,456.882016,101.481942,0.291258,1074.599054,0.0,2691.738755,0.0,0.0,73.0,73.0
﻿1,BP_VehicleAI229,424.188214,4,BP_SpawnPoint47,LAZY,78.275703,68.98582,456.135039,0.000161,474.886021,101.481942,0.106509,115.208189,0.0,571.449737,0.0,0.0,73.0,73.0
﻿1,BP_VehicleAI223,2265.789934,4,BP_SpawnPoint10,COLLISION_WITH_NavModifierVolume22,459.015628,294.574224,1764.223211,0.000039,484.985429,102.872106,0.026857,1255.129718,0.0,3019.379786,0.0,0.0,74.0,74.0
﻿1,BP_VehicleAI212,1588.80007,4,BP_SpawnPoint42,COLLISION_WITH_NavModifierVolume10,875.442958,250.132344,1940.739586,0.000341,514.507126,107.042597,0.227221,1446.52419,0.0,3387.490997,0.0,673.115625,77.0,77.0
﻿1,BP_VehicleAI217,2783.54088,4,BP_SpawnPoint31,COLLISION_WITH_NavModifierVolume14,513.581487,289.403246,2042.37562,0.000253,480.621303,111.213087,0.161928,1543.988065,0.0,3586.525613,0.0,0.0,80.0,80.0
﻿1,BP_VehicleAI24,2779.409623,4,BP_SpawnPoint48,COLLISION_WITH_NavModifierVolume54,454.511517,302.125605,2039.602223,0.000477,505.290316,112.603251,0.303229,1496.141292,0.0,3536.046745,0.0,0.0,81.0,81.0
﻿1,BP_VehicleAI240,3031.386767,4,BP_SpawnPoint46,COLLISION_WITH_NavModifierVolume57,292.52518,297.639076,2093.306213,0.000053,576.621189,116.773742,0.042099,1528.202711,0.0,3621.551023,0.0,0.0,84.0,84.0
﻿1,BP_VehicleAI221,3184.368141,4,BP_SpawnPoint22,COLLISION_WITH_NavModifierVolume12,402.319041,310.870384,2205.313529,0.000692,511.971951,118.163905,0.437171,1691.806867,0.0,3897.557566,0.0,0.0,85.0,85.0
