Generacion,CarID,Fitness_Final,Tiempo_Vivo,SpawnID,Razon_Muerte,Penalty_Muerte,Acum_PenaltyVelocidad,Acum_A,Media_B,Acum_C,Acum_D,Acum_E,Acum_F,Acum_WaitBonus,Acum_NetNormal,Acum_PenaltyCorrectingWrong,Acum_PenaltyTrafficViolation,Ticks_Normal,Ticks_Total,TrainingMode,Acum_ThrottlePos,Acum_BrakeInput,CoastTime,Acum_StopBrake,Acum_StopThrottle,Ticks_StopContext
﻿1,BP_VehicleAI21,-927.27587,3,BP_SpawnPoint33,COLLISION_WITH_NavModifierVolume22,762.337022,958.736795,626.88571,0.000091,434.926627,83.409815,0.0589,166.853337,0.0,793.797947,0.0,0.0,60.0,60.0,false,3.430846,0.0,0.0,0.0,0.0,0.0
﻿1,BP_VehicleAI246,-529.049677,4,BP_SpawnPoint47,COLLISION_WITH_BP_IntersectionBorder166,918.493656,1501.406283,1349.838023,0.00054,548.132197,118.163905,0.414849,540.59739,0.0,1890.850262,0.0,0.0,85.0,85.0,false,4.584962,0.0,0.0,0.0,0.0,0.0
﻿1,BP_VehicleAI219,710.258923,5,BP_SpawnPoint50,COLLISION_WITH_BP_IntersectionBorder182,983.462765,1589.398422,2097.403887,0.00069,666.957992,140.406523,0.566938,1185.149284,0.0,3283.12011,0.0,0.0,101.0,101.0,false,5.348029,0.0,0.0,0.0,3.152613,67.0
﻿1,BP_VehicleAI248,386.477719,5,BP_SpawnPoint4,COLLISION_WITH_NavModifierVolume133,891.543414,1967.937148,2149.672766,0.000312,786.186198,152.917995,0.337337,1095.948177,0.0,3245.958281,0.0,0.0,110.0,110.0,false,5.772443,0.0,0.0,0.0,0.0,0.0
﻿1,BP_VehicleAI232,1919.63093,6,BP_SpawnPoint42,TRAFFIC_VIOLATION,2992.555893,388.28033,4669.267684,0.000462,878.907945,182.11143,0.549446,4130.626038,0.0,8800.443167,0.0,3499.976015,131.0,131.0,false,5.555768,0.0,0.0,0.0,2.312561,75.0
﻿1,BP_VehicleAI24,2513.347994,6,BP_SpawnPoint15,COLLISION_WITH_NavModifierVolume7,897.114971,2001.236927,3259.233096,0.000513,924.876395,186.281921,0.6509,2151.815895,0.0,5411.699892,0.0,0.0,134.0,134.0,false,6.890359,0.0,0.0,0.0,0.0,0.0
﻿1,BP_VehicleAI221,3399.283413,7,BP_SpawnPoint46,COLLISION_WITH_NavModifierVolume37,941.740093,1863.845075,3635.822779,0.000492,929.612579,191.842576,0.640224,2568.405579,0.0,6204.868582,0.0,0.0,138.0,138.0,false,7.114946,0.0,0.0,0.0,0.0,0.0
﻿1,BP_VehicleAI226,3520.226424,7,BP_SpawnPoint32,STOP_VIOLATION,2000.0,1712.952254,4157.65979,0.00033,959.282196,201.573721,0.422452,3075.096435,0.0,7233.178677,0.0,0.0,145.0,145.0,false,7.514822,0.0,0.0,0.0,3.40574,70.0
﻿1,BP_VehicleAI229,6089.202137,8,BP_SpawnPoint38,STOP_VIOLATION,2000.0,1510.182649,5297.990255,0.000286,1059.695322,225.206502,0.423967,4300.970564,0.0,9599.384786,0.0,0.0,162.0,162.0,false,8.460682,0.0,0.0,0.0,3.491254,69.0
﻿1,BP_VehicleAI222,9658.776377,8,BP_SpawnPoint9,COLLISION_WITH_NavModifierVolume137,859.042769,883.070742,5946.046781,0.000266,1060.241169,226.596665,0.254297,5454.58881,0.0,11400.889889,0.0,0.0,163.0,163.0,false,8.507054,0.0,0.0,0.0,0.0,0.0
﻿1,BP_VehicleAI211,5853.872704,9,BP_SpawnPoint6,STOP_VIOLATION,2000.0,2008.337489,5461.549661,0.000173,1201.831012,244.668792,0.286964,4400.373568,0.0,9862.210194,0.0,0.0,176.0,176.0,false,9.105543,0.0,0.0,0.0,3.525334,70.0
﻿1,BP_VehicleAI215,7567.457101,9,BP_SpawnPoint18,COLLISION_WITH_NavModifierVolume142,902.146671,2020.697454,5821.396746,0.00041,1223.521003,255.790101,0.695809,4668.208671,0.0,10490.301226,0.0,0.0,184.0,184.0,false,9.473712,0.0,0.0,0.0,0.0,0.0
﻿1,BP_VehicleAI210,9439.541138,10,BP_SpawnPoint37,COLLISION_WITH_BP_IntersectionBorder104,967.418169,1861.331989,6661.289114,0.000377,1397.449913,276.642555,0.71617,5606.286013,0.0,12268.291296,0.0,0.0,199.0,199.0,false,10.183473,0.0,0.0,0.0,0.0,0.0
