Generacion,CarID,Fitness_Final,Tiempo_Vivo,SpawnID,Razon_Muerte,Penalty_Muerte,Acum_PenaltyVelocidad,Acum_A,Media_B,Acum_C,Acum_D,Acum_E,Acum_F,Acum_WaitBonus,Acum_NetNormal,Acum_PenaltyCorrectingWrong,Acum_PenaltyTrafficViolation,Ticks_Normal,Ticks_Total,TrainingMode,Acum_ThrottlePos,Acum_BrakeInput,CoastTime,Acum_StopBrake,Acum_StopThrottle,Ticks_StopContext,Acum_CreepingPenalty,Acum_ReversePenalty,Acum_LazyPenalty,Acum_SteeringWhileStopped
﻿1,BP_VehicleAI220,-241.290222,4,BP_SpawnPoint42,COLLISION_WITH_NavModifierVolume36,466.002348,231.602453,857.83389,0.000323,612.808382,122.334396,0.27619,0.170211,0.0,858.280291,0.0,368.006038,88.0,88.0,true,2.897864,0.0,0.0,0.0,0.254077,14.0,33.959673,0.0,0.0,0.0
﻿1,BP_VehicleAI237,-69.976261,5,BP_SpawnPoint24,LAZY,23.777114,0.0,-0.126523,0.000002,546.705688,123.72456,0.001183,0.0,0.0,-0.12534,0.0,0.0,89.0,89.0,true,0.002097,0.00878,4.902605,0.0,0.0,0.0,0.0,0.000146,69.850775,0.0
﻿1,BP_VehicleAI25,-88.122692,5,BP_SpawnPoint10,LAZY,39.139934,0.0,38.167769,0.000016,591.07368,123.72456,0.013448,0.000041,0.0,38.181259,0.0,0.0,89.0,89.0,true,0.451956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.303951,0.0
﻿1,BP_VehicleAI212,-78.619071,5,BP_SpawnPoint32,LAZY,26.41783,0.0,-0.337243,0.000003,606.954862,123.72456,0.002411,0.0,0.0,-0.334832,0.0,0.0,89.0,89.0,true,0.0,1.514058,0.0,0.0,0.0,0.0,0.0,0.002605,78.281633,0.0
﻿1,BP_VehicleAI234,-95.985536,5,BP_SpawnPoint14,LAZY,32.173629,0.0,-0.416703,0.000003,611.807345,123.72456,0.002332,0.0,0.0,-0.414371,0.0,0.0,89.0,89.0,true,0.0,1.766036,0.0,0.0,0.0,0.0,0.0,0.002606,95.56856,0.0
﻿1,BP_VehicleAI227,-148.299692,5,BP_SpawnPoint13,LAZY,50.0,0.0,0.148705,0.000001,593.126789,123.72456,0.000843,0.0,0.0,0.149548,0.0,0.0,89.0,89.0,true,0.026633,0.0,5.05175,0.0,0.0,0.0,0.0,0.000109,148.449131,0.0
﻿1,BP_VehicleAI27,136.002987,5,BP_SpawnPoint4,LAZY,1.949363,0.0,176.785744,0.0,657.874281,123.72456,0.000003,0.001706,0.0,176.787454,0.0,0.0,89.0,89.0,true,0.956169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.784467,0.0
﻿1,BP_VehicleAI211,-66.924158,5,BP_SpawnPoint38,LAZY,22.537052,0.0,-0.286008,0.000002,576.57596,123.72456,0.0018,0.0,0.0,-0.284208,0.0,0.0,89.0,89.0,true,0.0,2.456424,0.0,0.0,0.0,0.0,0.0,0.002605,66.637346,0.0
﻿1,BP_VehicleAI225,-52.388351,5,BP_SpawnPoint18,LAZY,32.675788,0.0,60.01692,0.000007,603.736795,123.72456,0.005616,0.000132,0.0,60.022668,0.0,0.0,89.0,89.0,true,0.572281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.411019,0.0
﻿1,BP_VehicleAI231,9.220723,5,BP_SpawnPoint35,LAZY,21.493882,0.0,96.30853,0.0,619.047592,123.72456,0.000107,0.000873,0.0,96.30951,0.0,0.0,89.0,89.0,true,0.7388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.088787,0.0
﻿1,BP_VehicleAI223,-87.397774,5,BP_SpawnPoint26,LAZY,29.344432,0.0,-0.386624,0.000002,596.854529,123.72456,0.001678,0.0,0.0,-0.384946,0.0,0.0,89.0,89.0,true,0.0,1.165923,0.0,0.0,0.0,0.0,0.0,0.002679,87.010149,0.0
﻿1,BP_VehicleAI248,-149.657183,5,BP_SpawnPoint47,LAZY,50.0,0.0,-0.616965,0.000001,594.212776,123.72456,0.001206,0.0,0.0,-0.61576,0.0,0.0,89.0,89.0,true,0.0,1.047175,0.0,0.0,0.0,0.0,0.0,0.002547,149.038877,0.0
﻿1,BP_VehicleAI236,-80.813981,5,BP_SpawnPoint34,LAZY,27.146372,0.0,-0.346547,0.000001,551.981882,123.72456,0.000937,0.0,0.0,-0.34561,0.0,0.0,89.0,89.0,true,0.0,1.301365,0.0,0.0,0.0,0.0,0.0,0.002604,80.465767,0.0
﻿1,BP_VehicleAI228,-62.384065,5,BP_SpawnPoint3,LAZY,21.028849,0.0,-0.269562,0.000002,550.826125,123.72456,0.001697,0.0,0.0,-0.267865,0.0,0.0,89.0,89.0,true,0.0,2.013601,0.0,0.0,0.0,0.0,0.0,0.002601,62.113599,0.0
﻿1,BP_VehicleAI222,-61.943334,5,BP_SpawnPoint7,LAZY,20.882792,0.0,-0.265575,0.000002,523.958765,123.72456,0.001228,0.0,0.0,-0.264347,0.0,0.0,89.0,89.0,true,0.0,3.08912,0.0,0.0,0.0,0.0,0.0,0.002606,61.676381,0.0
﻿1,BP_VehicleAI229,-149.669598,5,BP_SpawnPoint29,LAZY,50.0,0.0,-0.64048,0.0,604.705707,123.72456,0.000335,0.0,0.0,-0.640145,0.0,0.0,89.0,89.0,true,0.0,2.360508,0.0,0.0,0.0,0.0,0.0,0.002605,149.026848,0.0
﻿1,BP_VehicleAI233,-149.468798,5,BP_SpawnPoint27,LAZY,50.0,0.0,-0.440246,0.000001,690.531008,123.72456,0.000835,0.0,0.0,-0.439411,0.0,0.0,89.0,89.0,true,0.0,0.317513,0.0,0.0,0.0,0.0,0.0,0.002605,149.026783,0.0
﻿1,BP_VehicleAI22,-57.504259,5,BP_SpawnPoint50,LAZY,19.407338,0.0,-0.251441,0.000003,601.21245,123.72456,0.002144,0.0,0.0,-0.249297,0.0,0.0,89.0,89.0,true,0.0,1.547442,0.0,0.0,0.0,0.0,0.0,0.002605,57.252357,0.0
