Generación,MejorFitnessNorm,FitnessMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular,N
﻿1,-641.878151,182.769637,5.647059,COLLISION_WITH_NavModifierVolume5,LAZY,36,51
﻿2,-1267.281387,-358.002569,3.823529,COLLISION_WITH_NavModifierVolume21,LAZY,9,51
﻿3,2292.546965,163.105563,5.058824,COLLISION_WITH_NavModifierVolume17,LAZY,22,51
﻿4,-252.282738,-168.349613,3.54902,COLLISION_WITH_NavModifierVolume41,LAZY,6,51
﻿5,-963.067562,102.863953,4.72549,COLLISION_WITH_NavModifierVolume41,LAZY,17,51
﻿6,-96.544557,-129.201532,4.470588,LAZY,LAZY,27,51
﻿7,3344.759325,165.665933,4.098039,COLLISION_WITH_NavModifierVolume5,LAZY,8,51
﻿8,-2503.416809,210.579315,4.529412,COLLISION_WITH_BP_IntersectionBorder27,LAZY,10,51
﻿9,-973.124585,173.609397,4.254902,COLLISION_WITH_NavModifierVolume10,LAZY,14,51
﻿10,-150.444598,-174.524337,4.666667,LAZY,LAZY,25,51
﻿11,6089.103559,327.886124,5.156863,COLLISION_WITH_NavModifierVolume8,LAZY,30,51
﻿12,4511.180644,307.160214,5.431373,COLLISION_WITH_NavModifierVolume54,LAZY,35,51
﻿13,-149.872931,659.675341,5.862745,LAZY,LAZY,20,51
﻿14,281.382768,44.842948,5.509804,LAZY,LAZY,30,51
﻿15,-149.703552,216.418842,5.686275,LAZY,LAZY,36,51
﻿16,-149.562411,273.010394,5.843137,LAZY,LAZY,35,51
﻿17,-150.494718,-13.17391,5.54902,LAZY,LAZY,34,51
﻿18,877.766768,637.243489,5.078431,COLLISION_WITH_NavModifierVolume38,LAZY,20,51
﻿19,1316.28748,281.872367,5.843137,COLLISION_WITH_NavModifierVolume2,LAZY,28,51
﻿20,2928.230522,376.300964,5.745098,COLLISION_WITH_NavModifierVolume35,LAZY,31,51
﻿21,9408.612475,167.96383,6.490196,COLLISION_WITH_NavModifierVolume18,LAZY,34,51
﻿22,579.750035,403.064044,6.352941,LAZY,LAZY,21,51
﻿23,1234.697489,450.437379,5.431373,COLLISION_WITH_NavModifierVolume10,LAZY,21,51
﻿24,3390.692145,67.927952,5.039216,COLLISION_WITH_NavModifierVolume43,LAZY,35,51
﻿25,2504.411419,251.831974,5.764706,COLLISION_WITH_NavModifierVolume2,LAZY,27,51
﻿26,807.775011,555.263961,5.509804,COLLISION_WITH_NavModifierVolume6,LAZY,19,51
﻿27,9183.1994,431.665224,6.372549,LAZY,LAZY,27,51
﻿28,4722.310084,498.361193,6.098039,COLLISION_WITH_NavModifierVolume13,LAZY,28,51
﻿29,889.769219,395.530923,6.098039,COLLISION_WITH_NavModifierVolume19,LAZY,25,51
﻿30,5843.000748,146.578914,5.156863,COLLISION_WITH_BP_IntersectionBorder35,LAZY,39,51
﻿31,1139.243635,92.376287,5.745098,COLLISION_WITH_NavModifierVolume54,LAZY,18,51
﻿32,9329.656699,410.33095,5.745098,COLLISION_WITH_NavModifierVolume30,LAZY,19,51
﻿33,684.323697,219.271006,5.627451,COLLISION_WITH_NavModifierVolume41,LAZY,31,51
﻿34,1339.327624,199.338143,5.313725,COLLISION_WITH_NavModifierVolume10,LAZY,28,51
﻿35,2310.664262,167.547785,5.313725,COLLISION_WITH_NavModifierVolume16,LAZY,35,51
﻿36,4761.597358,505.880374,6.647059,COLLISION_WITH_NavModifierVolume26,LAZY,32,51
﻿37,4585.169771,418.552355,5.843137,COLLISION_WITH_NavModifierVolume35,LAZY,31,51
﻿38,3813.740151,167.203294,5.019608,COLLISION_WITH_BP_IntersectionBorder170,LAZY,18,51
﻿39,5803.729068,135.48135,5.058824,COLLISION_WITH_BP_IntersectionBorder33,LAZY,32,51
﻿40,13179.175426,326.719835,5.960784,COLLISION_WITH_NavModifierVolume50,LAZY,27,51
﻿41,7522.182771,916.387007,7.745098,COLLISION_WITH_NavModifierVolume11,LAZY,26,51
﻿42,13492.821807,755.496689,6.784314,STOP_VIOLATION,LAZY,26,51
﻿43,2019.199577,1026.348798,7.313725,LAZY,LAZY,15,51
﻿44,7089.769495,803.610597,5.705882,COLLISION_WITH_NavModifierVolume43,LAZY,15,51
﻿45,5243.656617,516.709516,5.529412,YIELD_VIOLATION,LAZY,26,51
﻿46,6058.054009,768.929635,6.254902,STOP_VIOLATION,LAZY,19,51
﻿47,11371.646414,688.939435,5.960784,COLLISION_WITH_NavModifierVolume61,LAZY,31,51
﻿48,20642.932374,1247.441567,7.627451,COLLISION_WITH_NavModifierVolume27,LAZY,20,51
﻿49,8437.039726,409.741212,5.019608,COLLISION_WITH_BP_IntersectionBorder99,LAZY,21,51
﻿50,7176.573951,623.459359,6.156863,COLLISION_WITH_NavModifierVolume137,LAZY,26,51
﻿51,2776.344578,197.401476,5.823529,LAZY,LAZY,34,51
﻿52,2757.304502,106.470349,5.294118,YIELD_VIOLATION,LAZY,33,51
﻿53,3388.592987,450.556487,5.313725,COLLISION_WITH_NavModifierVolume141,LAZY,21,51
﻿54,1883.167311,177.283552,5.333333,COLLISION_WITH_NavModifierVolume14,LAZY,30,51
﻿55,3863.881615,9.930851,4.235294,COLLISION_WITH_NavModifierVolume53,LAZY,13,51
﻿56,8885.65214,313.3873,5.372549,COLLISION_WITH_BP_IntersectionBorder50,LAZY,22,51
﻿57,2323.648305,101.860235,5.372549,COLLISION_WITH_NavModifierVolume17,LAZY,36,51
﻿58,912.684556,-13.808845,4.960784,COLLISION_WITH_NavModifierVolume6,LAZY,35,51
