Generacion,CarID,Fitness_Final,Tiempo_Vivo,SpawnID,Razon_Muerte,Penalty_Muerte,Acum_PenaltyVelocidad,Acum_A,Media_B,Acum_C,Acum_D,Acum_E,Acum_F,Acum_WaitBonus,Acum_NetNormal,Acum_PenaltyCorrectingWrong,Acum_PenaltyTrafficViolation,Ticks_Normal,Ticks_Total,TrainingMode,Acum_ThrottlePos,Acum_BrakeInput,CoastTime,Acum_StopBrake,Acum_StopThrottle,Ticks_StopContext,Acum_CreepingPenalty,Acum_ReversePenalty,Acum_LazyPenalty,Acum_SteeringWhileStopped,Acum_ThrottleDuringGraceTime,Acum_BrakeDuringGraceTime,YieldValidationTime,StopValidationTime,Acum_SteeringInput,Acum_TargetSteering,CarIndex,Acum_ABS_Steering,Ticks_StopContext_TrafficLight,Ticks_StopContext_Stop,Ticks_StopContext_Yield
﻿1,BP_VehicleAI221,-364.573766,2,BP_SpawnPoint21,COLLISION_WITH_NavModifierVolume13,547.395713,139.5987,322.337484,0.000002,251.182587,52.826216,0.000829,0.082334,0.0,322.420647,0.0,0.0,38.0,38.0,true,2.537683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.440043,26.440043,22,26.440043,0.0,0.0,0.0
﻿1,BP_VehicleAI29,-276.91846,2,BP_SpawnPoint18,COLLISION_WITH_NavModifierVolume27,482.157681,136.702316,341.851967,0.000006,262.253134,54.21638,0.002273,0.087298,0.0,341.941537,0.0,0.0,39.0,39.0,true,2.523285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.183634,-24.183634,10,26.551983,0.0,0.0,0.0
﻿1,BP_VehicleAI239,-359.023826,2,BP_SpawnPoint35,COLLISION_WITH_NavModifierVolume21,616.31835,189.775405,446.950765,0.0,300.209539,59.777034,0.000059,0.119104,0.0,447.069928,0.0,0.0,43.0,43.0,true,2.680761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.651545,20.651545,40,20.651545,0.0,0.0,0.0
﻿1,BP_VehicleAI242,-594.53881,2,BP_SpawnPoint27,COLLISION_WITH_NavModifierVolume50,629.538063,244.236163,279.080346,0.000219,328.587096,59.777034,0.101371,0.053698,0.0,279.235415,0.0,0.0,43.0,43.0,true,2.707863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.757198,-13.757198,43,21.598467,0.0,0.0,0.0
﻿1,BP_VehicleAI227,-542.207723,3,BP_SpawnPoint28,COLLISION_WITH_NavModifierVolume50,648.689279,309.802163,416.177742,0.000054,324.778295,66.727852,0.024729,0.081249,0.0,416.28372,0.0,0.0,48.0,48.0,true,2.916037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.421665,-17.421665,28,23.627373,0.0,0.0,0.0
﻿1,BP_VehicleAI211,-216.659218,3,BP_SpawnPoint15,COLLISION_WITH_NavModifierVolume47,530.618031,270.418318,584.218833,0.000002,340.345107,68.118016,0.000724,0.157575,0.0,584.377131,0.0,0.0,49.0,49.0,true,2.783176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.289103,-21.289103,12,24.116235,0.0,0.0,0.0
﻿1,BP_VehicleAI246,-940.198982,3,BP_SpawnPoint20,COLLISION_WITH_NavModifierVolume25,858.545803,474.55709,392.74269,0.000203,330.428767,69.50818,0.094001,0.06722,0.0,392.903911,0.0,0.0,50.0,50.0,true,3.152451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.71252,-12.71252,47,23.729798,0.0,0.0,0.0
﻿1,BP_VehicleAI25,-37.024401,3,BP_SpawnPoint39,COLLISION_WITH_NavModifierVolume12,339.925182,106.740308,409.565365,0.000004,325.190539,70.898343,0.001661,0.074063,0.0,409.641089,0.0,0.0,51.0,51.0,true,2.560817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.737202,36.737202,6,36.737202,0.0,0.0,0.0
﻿1,BP_VehicleAI214,102.336578,3,BP_SpawnPoint52,COLLISION_WITH_NavModifierVolume55,99.20548,17.527661,219.032075,0.000005,331.330037,70.898343,0.002359,0.035284,0.0,219.069719,0.0,0.0,51.0,51.0,true,2.070529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.446496,-43.446496,15,43.446496,0.0,0.0,0.0
﻿1,BP_VehicleAI226,-472.089544,3,BP_SpawnPoint24,COLLISION_WITH_NavModifierVolume9,864.354944,431.852414,823.878398,0.000004,326.923007,72.288507,0.001868,0.237549,0.0,824.117814,0.0,0.0,52.0,52.0,true,3.215817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.304972,19.304972,27,19.304972,0.0,0.0,0.0
﻿1,BP_VehicleAI247,-590.345174,4,BP_SpawnPoint49,COLLISION_WITH_NavModifierVolume14,976.829755,601.352561,987.541767,0.00009,381.907266,86.190143,0.047716,0.247659,0.0,987.837142,0.0,0.0,62.0,62.0,true,3.43713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.160544,12.160544,48,14.587735,0.0,0.0,0.0
﻿1,BP_VehicleAI220,-83.275427,4,BP_SpawnPoint50,COLLISION_WITH_NavModifierVolume6,806.614597,293.437814,1827.187749,0.000045,456.040056,93.140961,0.0287,0.918843,0.0,1828.135292,0.0,0.0,67.0,67.0,true,3.250675,0.011908,0.234454,0.011908,0.168165,18.0,227.252479,0.0,0.0,584.105831,0.0,0.0,0.0,0.9,-25.092163,-25.092163,21,25.092163,0.0,18.0,0.0
﻿1,BP_VehicleAI249,128.983982,4,BP_SpawnPoint46,COLLISION_WITH_NavModifierVolume57,562.400019,333.271579,1024.388134,0.000008,472.550764,95.921288,0.005192,0.262254,0.0,1024.65558,0.0,0.0,69.0,69.0,true,3.183607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.299523,22.299523,50,24.723365,0.0,0.0,0.0
﻿1,BP_VehicleAI216,258.621333,4,BP_SpawnPoint16,COLLISION_WITH_NavModifierVolume30,1409.841178,323.712742,1991.276282,0.00015,501.451711,98.701615,0.097143,0.801828,0.0,1992.175252,0.0,0.0,71.0,71.0,true,4.132688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.466304,-7.466304,17,11.422908,0.0,0.0,0.0
﻿1,BP_VehicleAI238,93.949002,4,BP_SpawnPoint,COLLISION_WITH_NavModifierVolume62,303.873316,141.091637,538.798095,0.000064,475.208385,98.701615,0.042507,0.073353,0.0,538.913955,0.0,0.0,71.0,71.0,true,2.885509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.757583,-25.757583,39,38.047728,0.0,0.0,0.0
﻿1,BP_VehicleAI212,-120.484272,4,BP_SpawnPoint45,COLLISION_WITH_NavModifierVolume18,1021.570436,571.732864,1472.336626,0.000001,454.869333,100.091779,0.000756,0.481646,0.0,1472.819028,0.0,0.0,72.0,72.0,true,3.678064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.800872,17.800872,13,18.912738,0.0,0.0,0.0
﻿1,BP_VehicleAI229,-52.896918,4,BP_SpawnPoint42,COLLISION_WITH_NavModifierVolume36,259.750581,157.738614,2646.207734,0.000122,515.965742,102.872106,0.087707,2.006216,0.0,2648.301657,0.0,1089.791266,74.0,74.0,true,3.379202,0.868161,0.0,0.868161,0.0,23.0,207.828402,0.0,0.0,986.089711,0.0,0.0,0.0,0.0,-23.444217,-23.444217,30,31.994716,23.0,0.0,0.0
﻿1,BP_VehicleAI219,87.468951,4,BP_SpawnPoint5,COLLISION_WITH_NavModifierVolume16,470.692735,385.242172,943.171036,0.000055,351.673704,105.652433,0.026824,0.205998,0.0,943.403858,0.0,0.0,76.0,76.0,true,3.073874,0.03217,0.057106,0.03217,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.217713,31.217713,20,32.965758,0.0,0.0,1.0
﻿1,BP_VehicleAI213,174.94622,4,BP_SpawnPoint8,COLLISION_WITH_NavModifierVolume43,674.667169,479.288884,1328.528885,0.0,484.26767,107.042597,0.000043,0.373345,0.0,1328.902273,0.0,0.0,77.0,77.0,true,3.445806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.257263,-16.257263,14,19.408728,0.0,0.0,0.0
﻿1,BP_VehicleAI230,-149.572068,5,BP_SpawnPoint13,LAZY,49.996992,0.0,-0.722573,0.0,515.292341,107.042597,0.000342,0.0,0.0,-0.722231,0.0,0.0,77.0,77.0,true,0.0,0.322228,0.0,0.0,0.0,0.0,0.0,0.003046,148.84679,0.0,0.0,0.0,0.0,0.0,0.616591,0.616591,31,0.616591,0.0,0.0,0.0
﻿1,BP_VehicleAI245,619.641668,5,BP_SpawnPoint9,COLLISION_WITH_NavModifierVolume2,598.952877,628.384373,1846.390895,0.000009,544.786854,112.603251,0.006465,0.581557,0.0,1846.978917,0.0,0.0,81.0,81.0,true,3.868216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.932013,14.932013,46,25.520855,0.0,0.0,0.0
﻿1,BP_VehicleAI225,1599.086379,5,BP_SpawnPoint19,COLLISION_WITH_NavModifierVolume8,485.117428,393.725428,2476.899534,0.000032,544.543486,115.383578,0.023428,1.006273,0.0,2477.929234,0.0,0.0,83.0,83.0,true,4.398958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.238949,12.238949,26,21.101477,0.0,0.0,0.0
﻿1,BP_VehicleAI222,-1440.981944,5,BP_SpawnPoint2,COLLISION_WITH_BP_IntersectionBorder173,4006.427967,649.142608,3212.616195,0.00067,558.090111,118.163905,0.503959,1.468478,0.0,3214.588632,0.0,0.0,85.0,85.0,true,5.386381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.223109,-1.223109,23,14.963731,0.0,0.0,0.0
﻿1,BP_VehicleAI20,-1662.471705,5,BP_SpawnPoint4,COLLISION_WITH_NavModifierVolume133,3230.748943,1015.560575,2582.626063,0.000452,648.164334,125.114723,0.402908,0.808843,0.0,2583.837813,0.0,0.0,90.0,90.0,true,5.080162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.604379,-16.604379,1,17.662882,0.0,0.0,0.0
﻿1,BP_VehicleAI232,1171.172141,5,BP_SpawnPoint25,COLLISION_WITH_BP_IntersectionBorder35,0.0,716.009627,1886.590662,0.000093,624.601549,126.504887,0.078743,0.512364,0.0,1887.181768,0.0,0.0,91.0,91.0,true,4.203994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.991669,9.991669,33,26.407469,0.0,0.0,0.0
﻿1,BP_VehicleAI243,151.432537,5,BP_SpawnPoint17,COLLISION_WITH_BP_IntersectionBorder24,681.154072,801.28351,1633.341191,0.000177,629.40232,127.89505,0.155976,0.372951,0.0,1633.870118,0.0,0.0,92.0,92.0,true,4.044476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.931949,-8.931949,44,28.929007,0.0,0.0,0.0
