Generacion,CarID,Fitness_Final,Tiempo_Vivo,SpawnID,Razon_Muerte,Penalty_Muerte,Acum_PenaltyVelocidad,Acum_A,Acum_F,Acum_WaitBonus,Acum_NetNormal,Acum_PenaltyCorrectingWrong,Acum_PenaltyTrafficViolation,Ticks_Normal,Ticks_Total,TrainingMode,Acum_ThrottlePos,Acum_BrakeInput,CoastTime,Acum_StopBrake,Acum_StopThrottle,Ticks_StopContext,Acum_CreepingPenalty,Acum_ReversePenalty,Acum_LazyPenalty,Acum_SteeringWhileStopped,Acum_ThrottleDuringGraceTime,Acum_BrakeDuringGraceTime,YieldValidationTime,StopValidationTime,Acum_SteeringInput,Acum_TargetSteering,CarIndex,Acum_ABS_Steering,Ticks_StopContext_TrafficLight,Ticks_StopContext_Stop,Ticks_StopContext_Yield,MutNumChanged,MutAvgMagnitude,MutNumLarge,MutParentFitness,Acum_SteerApproachPenalty,NumStopZonesEntered,NotNorm_PeakFitness,Acum_StopCompletionBonus,NumStopsCompleted,Acum_YieldCompletionBonus,NumYieldsCompleted,Acum_NavPenalty,NumRoundaboutsEntered,NumRoundaboutsCompleted,Acum_SpeedAtRoundaboutEntry,Acum_FrontObstAtRoundaboutEntry,Ticks_InRoundabout,Acum_SteeringInRoundabout,Acum_ThrottleInRoundabout,CollisionsInRoundabout,R_CurrentExitNumber,R_EntryDir_First,R_EntryDir_Second,R_EntryDir_Third,R_Exit1_Count,R_Exit2_Count,R_Exit3Plus_Count,R_Exit1_Deaths,R_Exit2_Deaths,R_Exit3Plus_Deaths,R_Exit1_Steering,R_Exit2_Steering,R_Exit3Plus_Steering,R_Exit1_Ticks,R_Exit2_Ticks,R_Exit3Plus_Ticks,R_Exit1_Throttle,R_Exit2_Throttle,R_Exit3Plus_Throttle,Acum_RoundaboutBonus,Acum_RndCompletionBonus,Acum_RndEntryPenalty,Acum_RndThrottlePenalty,Acum_AlignmentPenalty,NumCarOverlaps
﻿1,BP_VehicleAI217,2969.388905,7,BP_SpawnPoint45,COLLISION_WITH_BP_IntersectionBorder118,483.994584,460.786463,3911.274564,2.895388,0.0,3914.169952,0.0,0.0,167.0,167.0,true,2.82087,0.159589,0.080552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.352427,9.352427,18,60.069513,0.0,0.0,0.0,0,0.0,0,435934.118473,0.0,0,3813.314091,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
﻿1,BP_VehicleAI22,663.56888,7,BP_SpawnPoint7,COLLISION_WITH_BP_IntersectionBorder176,471.105781,756.609649,1730.489962,0.928878,0.0,1731.41884,0.0,0.0,180.0,180.0,true,3.144742,0.476391,1.518467,0.106348,0.0,7.0,0.0,0.0,0.0,0.017028,0.0,0.0,0.0,0.0,36.406669,36.406669,3,92.94033,0.0,0.0,7.0,0,0.0,0,435934.118473,0.443828,0,1623.018209,0.0,0,160.326327,1,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000001,1
﻿1,BP_VehicleAI218,6187.122319,9,BP_SpawnPoint31,COLLISION_WITH_BP_IntersectionBorder105,562.912286,258.480009,5645.527251,4.281632,0.0,5649.808884,0.0,0.0,228.0,228.0,true,3.730857,0.330458,0.036648,0.308902,0.0,8.0,0.0,0.0,0.0,0.224538,0.0,0.0,0.0,0.0,-20.26961,-20.26961,19,69.872827,0.0,0.0,8.0,0,0.0,0,435934.118473,15.930582,0,6973.346143,0.0,0,1374.860854,1,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000004,2
﻿1,BP_VehicleAI211,5728.488273,11,BP_SpawnPoint57,COLLISION_WITH_BP_IntersectionBorder77,696.244561,496.131104,5693.142266,3.79458,0.0,5696.936846,0.0,0.0,291.0,291.0,true,4.484345,0.521912,0.852902,0.285548,0.0,8.0,0.0,0.0,0.0,0.09599,0.358771,0.37459,0.0,0.0,12.061738,12.061738,12,112.900807,0.0,0.0,8.0,0,0.0,0,435934.118473,9.617094,1,6627.215294,0.0,0,1233.640207,1,0.0,1,0,891.882751,1.0,194,13.497732,42.768067,1,1,1,0,0,1,0,0,1,0,0,88.680152,0.0,0.0,194.0,0.0,0.0,42.768067,0.0,0.0,0.0,0.0,0.0,0.0,0.000031,0
﻿1,BP_VehicleAI212,7919.424993,15,BP_SpawnPoint43,COLLISION_WITH_BP_IntersectionBorder209,101.119538,858.645978,7484.888007,5.336342,0.0,7490.224348,0.0,0.0,383.0,383.0,true,5.524324,0.857809,0.819627,0.289834,0.0,8.0,0.0,0.0,0.0,0.259065,0.0,0.0,0.0,0.0,24.76769,24.76769,13,171.46684,0.0,0.0,8.0,0,0.0,0,435934.118473,13.481926,0,8020.544531,0.0,0,1402.707159,1,0.0,1,0,262.803009,1.0,364,6.747855,99.209187,1,2,0,1,0,1,1,0,0,1,0,97.697719,55.749285,0.0,292.0,72.0,0.0,88.250932,10.958254,0.0,0.0,0.0,0.0,0.0,0.000008,0
﻿1,BP_VehicleAI228,5194.168914,15,BP_SpawnPoint34,STOP_VIOLATION,0.0,237.962412,5433.258904,3.626076,0.0,5436.88498,62.818792,0.0,382.0,399.0,true,4.548346,1.899954,1.358113,1.819052,0.0,122.0,241.403392,0.000002,0.0,1.811064,0.0,0.235723,0.0,3.9,112.615928,112.615928,29,192.194904,0.0,114.0,8.0,0,0.0,0,435934.118473,88.413126,2,5251.123655,0.0,0,1182.103767,1,792.410258,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000786,1
﻿1,BP_VehicleAI227,7811.799394,16,BP_SpawnPoint59,STOP_VIOLATION,0.0,1006.234144,10002.375587,6.414529,0.0,10008.790116,0.0,0.0,428.0,428.0,true,5.612144,3.061824,0.592112,2.898469,0.0,110.0,731.618574,0.000018,0.0,8.879207,0.0,0.0,0.0,3.7,47.554947,47.554947,28,200.427591,0.0,110.0,0.0,0,0.0,0,435934.118473,450.25668,1,8849.70192,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002099,1
﻿1,BP_VehicleAI219,6616.383066,17,BP_SpawnPoint,STOP_VIOLATION,8.280641,1315.430602,8181.649359,6.08787,0.0,8187.737229,0.0,0.0,456.0,456.0,true,4.18949,2.468601,2.244702,2.276907,0.538937,123.0,145.993068,0.000013,0.0,1.419334,0.0,0.0,0.0,4.1,5.510602,5.510602,20,156.914613,0.0,123.0,0.0,0,0.0,0,435934.118473,91.949121,1,7138.742302,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000743,2
﻿1,BP_VehicleAI215,6918.574127,18,BP_SpawnPoint46,COLLISION_WITH_NavModifierVolume33,143.011396,1423.840326,8491.488352,5.622606,0.0,8497.110958,11.685109,0.0,481.0,483.0,true,5.382123,0.578554,3.48395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-92.583646,-92.583646,16,171.075799,0.0,0.0,0.0,0,0.0,0,435934.118473,0.0,0,7492.853038,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
﻿1,BP_VehicleAI25,8982.194547,18,BP_SpawnPoint28,STOP_VIOLATION,0.0,920.493873,10825.418231,7.622406,0.0,10833.040637,0.0,0.0,494.0,494.0,true,5.858987,3.536199,1.972903,3.372657,0.0,123.0,624.003468,0.000012,0.0,1.643408,0.0,0.0,0.0,3.7,162.927082,162.927082,6,223.054218,0.0,123.0,0.0,0,0.0,0,435934.118473,304.70295,1,9828.518899,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002379,0
