Generacion,CarID,Fitness_Final,Tiempo_Vivo,SpawnID,Razon_Muerte,Penalty_Muerte,Acum_PenaltyVelocidad,Acum_A,Media_B,Acum_C,Acum_D,Acum_E,Acum_F,Acum_WaitBonus,Acum_NetNormal,Acum_PenaltyCorrectingWrong,Acum_PenaltyTrafficViolation,Ticks_Normal,Ticks_Total,TrainingMode,Acum_ThrottlePos,Acum_BrakeInput,CoastTime,Acum_StopBrake,Acum_StopThrottle,Ticks_StopContext,Acum_CreepingPenalty,Acum_ReversePenalty
﻿1,BP_VehicleAI234,-22.661676,3,BP_SpawnPoint31,LAZY,22.834188,0.0,0.17153,0.000002,335.590964,75.068834,0.000768,0.000299,0.0,0.172597,0.0,0.0,54.0,54.0,true,0.004284,0.0,3.051794,0.0,0.0,0.0,0.0,0.000085
﻿1,BP_VehicleAI211,-20.597844,3,BP_SpawnPoint48,LAZY,20.772995,0.0,0.174625,0.000001,337.990039,75.068834,0.000311,0.0003,0.0,0.175236,0.0,0.0,54.0,54.0,true,0.002133,0.0,3.051794,0.0,0.0,0.0,0.0,0.000084
﻿1,BP_VehicleAI223,-17.62948,3,BP_SpawnPoint2,LAZY,17.800949,0.0,0.170563,0.000001,362.213643,75.068834,0.000693,0.000298,0.0,0.171554,0.0,0.0,54.0,54.0,true,0.0,0.002666,3.051794,0.0,0.0,0.0,0.0,0.000085
﻿1,BP_VehicleAI250,-22.907502,3,BP_SpawnPoint36,LAZY,23.050201,0.0,0.141724,0.000003,245.479662,75.068834,0.000855,0.000205,0.0,0.142785,0.0,0.0,54.0,54.0,true,0.0,0.000457,3.051794,0.0,0.0,0.0,0.0,0.000085
﻿1,BP_VehicleAI248,-29.622252,3,BP_SpawnPoint5,LAZY,29.792419,0.0,0.16913,0.000002,251.388757,75.068834,0.000824,0.000298,0.0,0.170252,0.0,0.0,54.0,54.0,true,0.0,0.003269,3.051794,0.0,0.0,0.0,0.0,0.000085
﻿1,BP_VehicleAI231,-9.192766,3,BP_SpawnPoint25,LAZY,9.367966,0.0,0.174475,0.000001,359.681008,75.068834,0.000501,0.000318,0.0,0.175294,0.0,0.0,54.0,54.0,true,0.0,0.00043,3.051794,0.0,0.0,0.0,0.0,0.000094
﻿1,BP_VehicleAI21,-17.090094,3,BP_SpawnPoint6,LAZY,16.718262,0.0,-0.371854,0.000002,376.684545,75.068834,0.000985,0.000173,0.0,-0.370695,0.0,0.0,54.0,54.0,true,0.0,0.000298,3.051794,0.0,0.0,0.0,0.0,0.001137
﻿1,BP_VehicleAI222,-16.127869,3,BP_SpawnPoint19,LAZY,16.301132,0.0,0.172691,0.000001,340.616116,75.068834,0.000358,0.000299,0.0,0.173348,0.0,0.0,54.0,54.0,true,0.003261,0.0,3.051794,0.0,0.0,0.0,0.0,0.000085
﻿1,BP_VehicleAI228,-0.779739,3,BP_SpawnPoint28,LAZY,0.862452,0.0,0.080655,0.000004,365.889928,75.068834,0.002079,0.000065,0.0,0.082798,0.0,0.0,54.0,54.0,true,0.0,0.002026,3.051794,0.0,0.0,0.0,0.0,0.000085
﻿1,BP_VehicleAI213,-21.893978,3,BP_SpawnPoint16,LAZY,22.073471,0.0,0.177153,0.000004,356.774772,75.068834,0.002124,0.000299,0.0,0.179576,0.0,0.0,54.0,54.0,true,0.00269,0.0,3.051794,0.0,0.0,0.0,0.0,0.000083
﻿1,BP_VehicleAI25,-11.128716,3,BP_SpawnPoint21,LAZY,11.264216,0.0,0.134033,0.000003,359.477173,75.068834,0.001372,0.00018,0.0,0.135585,0.0,0.0,54.0,54.0,true,0.001587,0.0,3.051794,0.0,0.0,0.0,0.0,0.000085
﻿1,BP_VehicleAI229,-18.121726,3,BP_SpawnPoint10,LAZY,18.294235,0.0,0.171526,0.000002,359.561462,75.068834,0.00077,0.000299,0.0,0.172595,0.0,0.0,54.0,54.0,true,0.002488,0.0,3.051794,0.0,0.0,0.0,0.0,0.000085
﻿1,BP_VehicleAI26,-11.485723,3,BP_SpawnPoint46,LAZY,11.656743,0.0,0.170316,0.000001,365.583822,75.068834,0.000492,0.000298,0.0,0.171105,0.0,0.0,54.0,54.0,true,0.0,0.004642,3.051794,0.0,0.0,0.0,0.0,0.000085
﻿1,BP_VehicleAI24,-0.7866,3,BP_SpawnPoint38,LAZY,0.877869,0.0,0.089833,0.000003,348.99212,75.068834,0.00144,0.00008,0.0,0.091353,0.0,0.0,54.0,54.0,true,0.002186,0.0,3.051794,0.0,0.0,0.0,0.0,0.000085
﻿1,BP_VehicleAI212,-0.454908,3,BP_SpawnPoint40,LAZY,0.54007,0.0,0.083122,0.000004,360.109507,75.068834,0.002056,0.000068,0.0,0.085247,0.0,0.0,54.0,54.0,true,0.0,0.001963,3.051794,0.0,0.0,0.0,0.0,0.000085
﻿1,BP_VehicleAI226,-33.506464,3,BP_SpawnPoint,LAZY,33.610611,0.0,0.101574,0.000005,361.938845,75.068834,0.002552,0.000106,0.0,0.104232,0.0,0.0,54.0,54.0,true,0.0,0.002141,3.051794,0.0,0.0,0.0,0.0,0.000085
﻿1,BP_VehicleAI227,-31.451358,3,BP_SpawnPoint23,LAZY,31.401377,0.0,-0.050448,0.000001,371.434284,75.068834,0.000365,0.000258,0.0,-0.049824,0.0,0.0,54.0,54.0,true,0.003323,0.0,3.051794,0.0,0.0,0.0,0.0,0.000156
﻿1,BP_VehicleAI225,-11.547528,3,BP_SpawnPoint3,LAZY,11.20873,0.0,-0.339495,0.000004,337.868908,75.068834,0.001675,0.000146,0.0,-0.337673,0.0,0.0,54.0,54.0,true,0.0,0.00026,3.051794,0.0,0.0,0.0,0.0,0.001125
﻿1,BP_VehicleAI230,-7.820077,3,BP_SpawnPoint51,LAZY,7.929871,0.0,0.107664,0.000006,245.139142,75.068834,0.002098,0.000117,0.0,0.109879,0.0,0.0,54.0,54.0,true,0.0,0.003741,3.051794,0.0,0.0,0.0,0.0,0.000085
﻿1,BP_VehicleAI249,-0.368275,3,BP_SpawnPoint33,LAZY,0.440735,0.0,0.07116,0.000003,375.661238,75.068834,0.001335,0.00005,0.0,0.072545,0.0,0.0,54.0,54.0,true,0.0,0.002799,3.051794,0.0,0.0,0.0,0.0,0.000085
﻿1,BP_VehicleAI215,-22.694556,3,BP_SpawnPoint39,LAZY,22.787333,0.0,0.091549,0.000003,344.007448,75.068834,0.00123,0.000083,0.0,0.092862,0.0,0.0,54.0,54.0,true,0.003853,0.0,3.051794,0.0,0.0,0.0,0.0,0.000085
﻿1,BP_VehicleAI220,-36.238799,3,BP_SpawnPoint26,LAZY,36.290644,0.0,0.049563,0.000005,359.80643,75.068834,0.002348,0.000036,0.0,0.051946,0.0,0.0,54.0,54.0,true,0.002667,0.0,3.051794,0.0,0.0,0.0,0.0,0.000101
﻿1,BP_VehicleAI247,-23.067264,3,BP_SpawnPoint8,LAZY,23.238322,0.0,0.170318,0.000001,327.081914,75.068834,0.000527,0.000298,0.0,0.171143,0.0,0.0,54.0,54.0,true,0.000504,0.0,3.051794,0.0,0.0,0.0,0.0,0.000085
﻿1,BP_VehicleAI214,-0.907945,3,BP_SpawnPoint35,LAZY,1.083822,0.0,0.175212,0.000001,375.554477,75.068834,0.000451,0.000298,0.0,0.175961,0.0,0.0,54.0,54.0,true,0.001167,0.0,3.051794,0.0,0.0,0.0,0.0,0.000085
﻿1,BP_VehicleAI224,-30.096328,3,BP_SpawnPoint42,LAZY,30.235784,0.0,0.13805,0.000002,379.601571,75.068834,0.001294,0.000196,0.0,0.13954,0.0,0.0,54.0,54.0,true,0.002851,0.0,3.051794,0.0,0.0,0.0,0.0,0.000085
﻿1,BP_VehicleAI210,-24.763561,3,BP_SpawnPoint32,LAZY,24.85585,0.0,0.090989,0.000003,370.45389,75.068834,0.001303,0.000082,0.0,0.092374,0.0,0.0,54.0,54.0,true,0.004886,0.0,3.051794,0.0,0.0,0.0,0.0,0.000085
﻿1,BP_VehicleAI20,-20.564449,3,BP_SpawnPoint22,LAZY,20.735153,0.0,0.169435,0.000002,356.632441,75.068834,0.001056,0.000298,0.0,0.170789,0.0,0.0,54.0,54.0,true,0.0,0.003429,3.051794,0.0,0.0,0.0,0.0,0.000085
﻿1,BP_VehicleAI240,-1.44694,3,BP_SpawnPoint29,LAZY,1.621841,0.0,0.173441,0.000002,366.281794,75.068834,0.001248,0.000298,0.0,0.174987,0.0,0.0,54.0,54.0,true,0.0,0.00214,3.051794,0.0,0.0,0.0,0.0,0.000085
﻿1,BP_VehicleAI245,-24.502117,3,BP_SpawnPoint50,LAZY,24.67509,0.0,0.172422,0.000001,369.134148,75.068834,0.000336,0.000299,0.0,0.173058,0.0,0.0,54.0,54.0,true,0.005266,0.0,3.051794,0.0,0.0,0.0,0.0,0.000085
﻿1,BP_VehicleAI244,-5.285747,3,BP_SpawnPoint27,LAZY,5.461105,0.0,0.173763,0.000002,419.63182,75.068834,0.001382,0.000299,0.0,0.175443,0.0,0.0,54.0,54.0,true,0.002504,0.0,3.051794,0.0,0.0,0.0,0.0,0.000085
﻿1,BP_VehicleAI23,-9.809898,3,BP_SpawnPoint37,LAZY,9.927526,0.0,0.116196,0.000003,372.460055,75.068834,0.001383,0.000135,0.0,0.117713,0.0,0.0,54.0,54.0,true,0.000146,0.0,3.051794,0.0,0.0,0.0,0.0,0.000085
﻿1,BP_VehicleAI246,-18.521322,3,BP_SpawnPoint45,LAZY,18.671687,0.0,0.149434,0.000002,338.988731,75.068834,0.000789,0.000227,0.0,0.15045,0.0,0.0,54.0,54.0,true,0.0,0.000945,3.051794,0.0,0.0,0.0,0.0,0.000085
﻿1,BP_VehicleAI221,-23.354656,3,BP_SpawnPoint7,LAZY,23.524704,0.0,0.169358,0.000001,320.87062,75.068834,0.000477,0.000298,0.0,0.170133,0.0,0.0,54.0,54.0,true,0.000435,0.0,3.051794,0.0,0.0,0.0,0.0,0.000085
﻿1,BP_VehicleAI243,-1.801213,3,BP_SpawnPoint17,LAZY,1.9077,0.0,0.104789,0.000003,369.300245,75.068834,0.001678,0.000114,0.0,0.106582,0.0,0.0,54.0,54.0,true,0.0,0.002101,3.051794,0.0,0.0,0.0,0.0,0.000095
﻿1,BP_VehicleAI29,-1.28582,3,BP_SpawnPoint4,LAZY,1.446737,0.0,0.160052,0.000001,400.894639,75.068834,0.000704,0.000246,0.0,0.161002,0.0,0.0,54.0,54.0,true,0.004939,0.0,3.051794,0.0,0.0,0.0,0.0,0.000085
﻿1,BP_VehicleAI241,-15.402912,3,BP_SpawnPoint44,LAZY,15.540802,0.0,0.137476,0.0,339.539435,75.068834,0.000223,0.000278,0.0,0.137977,0.0,0.0,54.0,54.0,true,0.0,0.006449,3.051794,0.0,0.0,0.0,0.0,0.000086
﻿1,BP_VehicleAI216,-25.062674,3,BP_SpawnPoint15,LAZY,25.232646,0.0,0.168932,0.000002,378.717968,75.068834,0.000827,0.000298,0.0,0.170057,0.0,0.0,54.0,54.0,true,0.0,0.003444,3.051794,0.0,0.0,0.0,0.0,0.000085
﻿1,BP_VehicleAI218,-5.55941,3,BP_SpawnPoint34,LAZY,5.66688,0.0,0.105327,0.000005,334.067692,75.068834,0.00212,0.000109,0.0,0.107556,0.0,0.0,54.0,54.0,true,0.001807,0.0,3.051794,0.0,0.0,0.0,0.0,0.000085
﻿1,BP_VehicleAI28,-23.270643,3,BP_SpawnPoint14,LAZY,23.442118,0.0,0.169071,0.000004,369.45341,75.068834,0.002192,0.000298,0.0,0.17156,0.0,0.0,54.0,54.0,true,0.0,0.003045,3.051794,0.0,0.0,0.0,0.0,0.000085
﻿1,BP_VehicleAI219,-18.711921,3,BP_SpawnPoint9,LAZY,18.806661,0.0,0.093487,0.000002,362.455176,75.068834,0.001252,0.000087,0.0,0.094825,0.0,0.0,54.0,54.0,true,0.002238,0.0,3.051794,0.0,0.0,0.0,0.0,0.000085
