Generación,MejorFitnessNorm,FitnessMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular,N
﻿1,-0.368275,-17.265418,3.0,LAZY,LAZY,51,51
﻿2,8244.953752,-197.990512,3.647059,COLLISION_WITH_NavModifierVolume137,LAZY,35,51
﻿3,10015.238609,62.545497,3.960784,CORRECTINGWRONG,LAZY,18,51
﻿4,1619.971834,-436.015623,3.901961,COLLISION_WITH_NavModifierVolume25,LAZY,14,51
﻿5,722.822167,-484.476902,3.568627,COLLISION_WITH_NavModifierVolume9,LAZY,22,51
﻿6,4720.122202,-35.974618,3.470588,COLLISION_WITH_NavModifierVolume14,LAZY,27,51
﻿7,2144.480475,-36.344047,3.588235,COLLISION_WITH_NavModifierVolume8,LAZY,21,51
﻿8,2589.632807,-86.747918,3.529412,COLLISION_WITH_NavModifierVolume20,LAZY,22,51
﻿9,4759.180413,-269.153633,3.686275,COLLISION_WITH_BP_IntersectionBorder69,LAZY,23,51
﻿10,20.68833,-154.039852,3.490196,LAZY,LAZY,26,51
﻿11,191.276076,-194.717119,3.313725,LAZY,LAZY,30,51
﻿12,326.38008,-283.715089,3.431373,COLLISION_WITH_NavModifierVolume8,LAZY,26,51
﻿13,13.112669,-191.668578,3.529412,COLLISION_WITH_NavModifierVolume57,LAZY,29,51
﻿14,51.896554,-199.822774,3.627451,COLLISION_WITH_NavModifierVolume49,LAZY,28,51
﻿15,2657.088204,-214.401149,3.823529,COLLISION_WITH_BP_IntersectionBorder164,LAZY,24,51
﻿16,710.872035,-205.905426,3.411765,COLLISION_WITH_NavModifierVolume19,LAZY,26,51
﻿17,1659.640942,-93.327394,3.54902,COLLISION_WITH_NavModifierVolume54,LAZY,23,51
﻿18,6400.496303,287.64151,3.941176,COLLISION_WITH_NavModifierVolume29,LAZY,21,51
﻿19,13963.535463,-184.300765,3.784314,COLLISION_WITH_BP_IntersectionBorder50,LAZY,30,51
﻿20,918.973654,84.566718,3.941176,COLLISION_WITH_NavModifierVolume50,LAZY,32,51
﻿21,2582.794616,-265.13437,3.529412,COLLISION_WITH_NavModifierVolume51,LAZY,21,51
﻿22,1384.396334,-328.849919,3.568627,STOP_VIOLATION,LAZY,36,51
﻿23,389.034396,-291.124426,3.588235,LAZY,LAZY,28,51
﻿24,490.276128,-254.782559,3.647059,LAZY,LAZY,30,51
﻿25,7243.806017,-136.208079,3.45098,COLLISION_WITH_NavModifierVolume13,LAZY,29,51
﻿26,2189.518639,-684.607862,3.745098,COLLISION_WITH_BP_IntersectionBorder67,LAZY,27,51
﻿27,1109.937458,-12.096413,3.745098,COLLISION_WITH_BP_IntersectionBorder127,LAZY,35,51
﻿28,534.753581,-236.875031,3.509804,LAZY,LAZY,33,51
﻿29,10142.508869,-246.204524,3.627451,COLLISION_WITH_NavModifierVolume46,LAZY,31,51
﻿30,1186.494082,-29.319448,3.627451,COLLISION_WITH_NavModifierVolume13,LAZY,33,51
﻿31,6734.974837,67.753377,3.54902,COLLISION_WITH_NavModifierVolume33,LAZY,36,51
﻿32,2003.096788,-193.417256,3.666667,STOP_VIOLATION,LAZY,29,51
﻿33,464.206544,-146.001856,3.431373,LAZY,LAZY,33,51
﻿34,2463.24601,-130.281563,3.647059,COLLISION_WITH_NavModifierVolume25,LAZY,27,51
﻿35,9044.27514,32.909036,3.54902,COLLISION_WITH_NavModifierVolume8,LAZY,35,51
﻿36,2638.486391,-63.053126,3.588235,STOP_VIOLATION,LAZY,28,51
﻿37,5962.698163,-183.069547,3.882353,COLLISION_WITH_BP_IntersectionBorder8,LAZY,22,51
﻿38,1527.91454,-113.041115,4.137255,COLLISION_WITH_BP_IntersectionBorder168,LAZY,28,51
﻿39,4634.053592,-164.137205,3.882353,COLLISION_WITH_NavModifierVolume51,LAZY,26,51
﻿40,1073.362886,-128.470141,3.745098,COLLISION_WITH_NavModifierVolume19,LAZY,25,51
﻿41,9627.667994,-280.818696,3.764706,COLLISION_WITH_NavModifierVolume46,LAZY,31,51
﻿42,9812.466538,47.609171,3.960784,COLLISION_WITH_NavModifierVolume25,LAZY,29,51
﻿43,631.449965,-233.943052,3.54902,LAZY,LAZY,28,51
﻿44,2953.262239,-183.467194,3.490196,COLLISION_WITH_NavModifierVolume15,LAZY,33,51
﻿45,2854.37357,-488.064423,3.803922,COLLISION_WITH_NavModifierVolume,LAZY,34,51
﻿46,2452.534478,-86.665809,3.54902,COLLISION_WITH_NavModifierVolume32,LAZY,34,51
﻿47,5927.889549,-341.610702,3.882353,COLLISION_WITH_NavModifierVolume20,LAZY,25,51
﻿48,9486.605233,159.908588,3.784314,COLLISION_WITH_NavModifierVolume133,LAZY,35,51
﻿49,4295.389132,-2.882628,3.862745,COLLISION_WITH_BP_IntersectionBorder181,LAZY,24,51
﻿50,5661.463165,-303.884549,3.784314,COLLISION_WITH_NavModifierVolume142,LAZY,28,51
﻿51,9401.214343,145.756788,3.803922,COLLISION_WITH_BP_IntersectionBorder170,LAZY,29,51
﻿52,4267.314011,-43.931835,3.568627,COLLISION_WITH_BP_IntersectionBorder35,LAZY,31,51
﻿53,4464.219237,-104.120955,3.745098,COLLISION_WITH_BP_IntersectionBorder113,LAZY,26,51
﻿54,1064.988234,-162.727294,3.607843,COLLISION_WITH_NavModifierVolume24,LAZY,32,51
﻿55,6966.419848,-92.89451,3.882353,LAZY,LAZY,32,51
﻿56,4275.702984,-117.452365,3.627451,COLLISION_WITH_NavModifierVolume18,LAZY,29,51
﻿57,6900.147875,-225.476226,3.941176,CORRECTINGWRONG,LAZY,27,51
﻿58,1177.369043,-178.624467,3.352941,LAZY,LAZY,30,51
﻿59,4450.175826,-254.866958,3.45098,COLLISION_WITH_NavModifierVolume5,LAZY,29,51
﻿60,469.478174,-239.669142,3.294118,LAZY,LAZY,32,51
﻿61,3146.573689,-1158.897128,3.941176,COLLISION_WITH_BP_IntersectionBorder103,LAZY,29,51
﻿62,3276.021366,-199.558483,3.666667,COLLISION_WITH_BP_IntersectionBorder175,LAZY,33,51
﻿63,5963.655486,-263.775294,3.529412,CORRECTINGWRONG,LAZY,31,51
﻿64,6608.480282,-106.139587,3.627451,COLLISION_WITH_NavModifierVolume22,LAZY,30,51
﻿65,9851.794147,-238.218078,3.686275,COLLISION_WITH_NavModifierVolume25,LAZY,25,51
﻿66,3120.91615,-213.994631,3.72549,COLLISION_WITH_NavModifierVolume25,LAZY,29,51
﻿67,2599.830939,-101.649141,3.588235,COLLISION_WITH_BP_IntersectionBorder116,LAZY,34,51
﻿68,383.414297,-198.305532,3.666667,LAZY,LAZY,33,51
﻿69,6978.656484,51.651578,3.627451,COLLISION_WITH_BP_IntersectionBorder44,LAZY,33,51
﻿70,22705.427019,16.391845,3.490196,COLLISION_WITH_NavModifierVolume27,LAZY,31,51
