Generacion,CarID,Fitness_Final,Tiempo_Vivo,SpawnID,Razon_Muerte,Penalty_Muerte,Acum_PenaltyVelocidad,Acum_A,Media_B,Acum_C,Acum_D,Acum_E,Acum_F,Acum_WaitBonus,Acum_NetNormal,Acum_PenaltyCorrectingWrong,Acum_PenaltyTrafficViolation,Ticks_Normal,Ticks_Total,TrainingMode,Acum_ThrottlePos,Acum_BrakeInput,CoastTime,Acum_StopBrake,Acum_StopThrottle,Ticks_StopContext,Acum_CreepingPenalty,Acum_ReversePenalty,Acum_LazyPenalty,Acum_SteeringWhileStopped,Acum_ThrottleDuringGraceTime,Acum_BrakeDuringGraceTime,YieldValidationTime,StopValidationTime,Acum_SteeringInput,Acum_TargetSteering,CarIndex,Acum_ABS_Steering
﻿1,BP_VehicleAI217,154.628396,3,BP_SpawnPoint10,COLLISION_WITH_NavModifierVolume24,135.857091,22.215527,312.658685,0.0,321.996512,68.118016,0.000045,0.042283,0.0,312.701013,0.0,0.0,49.0,49.0,true,2.026424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.493925,-36.493925,18,36.493925
﻿1,BP_VehicleAI248,-115.720794,3,BP_SpawnPoint12,COLLISION_WITH_NavModifierVolume44,286.250812,57.073711,288.851716,0.0,352.960511,70.898343,0.0,0.052036,0.0,288.903752,0.0,0.0,51.0,51.0,true,2.30665,0.0,0.0,0.0,0.030771,1.0,0.0,0.0,0.0,61.300023,0.0,0.0,0.0,0.0,-31.474695,-31.474695,49,31.474695
﻿1,BP_VehicleAI26,-641.878151,3,BP_SpawnPoint18,COLLISION_WITH_NavModifierVolume5,1480.177038,438.398684,1276.002646,0.000296,404.193802,83.409815,0.166987,0.527937,0.0,1276.697571,0.0,0.0,60.0,60.0,true,3.624654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.776392,23.776392,7,23.776392
﻿1,BP_VehicleAI238,192.206975,4,BP_SpawnPoint41,COLLISION_WITH_NavModifierVolume10,156.942856,31.923731,396.822542,0.0,432.875177,90.360633,0.0,0.046082,0.0,396.868624,0.0,0.0,65.0,65.0,true,2.223158,0.0,0.0,0.0,0.031603,1.0,0.0,0.0,0.0,15.795062,0.0,0.0,0.0,0.0,32.236134,32.236134,39,32.236134
﻿1,BP_VehicleAI235,586.926657,4,BP_SpawnPoint2,COLLISION_WITH_NavModifierVolume57,237.37635,48.716359,872.727782,0.000199,471.96522,98.701615,0.131416,0.16017,0.0,873.019367,0.0,0.0,71.0,71.0,true,2.627759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.978595,-33.978595,36,33.978595
﻿1,BP_VehicleAI211,377.736658,4,BP_SpawnPoint5,COLLISION_WITH_NavModifierVolume16,78.520765,15.059303,471.273557,0.0,334.274064,101.481942,0.000029,0.04314,0.0,471.316726,0.0,0.0,73.0,73.0,true,2.128752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.536768,53.536768,12,53.536768
﻿1,BP_VehicleAI212,116.161777,5,BP_SpawnPoint7,LAZY,5.461243,0.0,171.225723,0.000003,470.415746,109.822924,0.001835,0.001953,0.0,171.22951,0.0,0.0,79.0,79.0,true,1.028582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.067733,0.0,0.0,0.0,0.0,0.0,-23.898278,-23.898278,13,23.898278
﻿1,BP_VehicleAI234,-149.463091,5,BP_SpawnPoint6,LAZY,49.998175,0.0,-0.476907,0.000001,553.152803,109.822924,0.000754,0.0,0.0,-0.476154,0.0,0.0,79.0,79.0,true,0.0,1.951627,0.0,0.0,0.0,0.0,0.0,0.002905,148.984033,0.0,0.0,0.0,0.0,0.0,-41.887123,-41.887123,35,41.887123
﻿1,BP_VehicleAI227,-79.530612,5,BP_SpawnPoint52,LAZY,26.762279,0.0,-0.25033,0.000002,515.430816,109.822924,0.001373,0.0,0.0,-0.248957,0.0,0.0,79.0,79.0,true,0.0,1.952989,0.0,0.0,0.0,0.0,0.0,0.002859,79.278796,0.0,0.0,0.0,0.0,0.0,-40.364018,-40.364018,28,40.364018
﻿1,BP_VehicleAI27,-149.465111,5,BP_SpawnPoint33,LAZY,49.998174,0.0,-0.47912,0.000001,538.77464,109.822924,0.000409,0.0,0.0,-0.478711,0.0,0.0,79.0,79.0,true,0.0,0.940622,0.0,0.0,0.0,0.0,0.0,0.002888,148.983513,0.0,0.0,0.0,0.0,0.0,56.708268,56.708268,8,56.708268
