issue_iid,issue_id,titulo,tipo,estado,milestone,sprint_numero,labels,autor,autor_username,asignado_a,asignado_username,fecha_inicio,fecha_fin,duracion_planificada_dias,duracion_estimada_dias,creado_utc,actualizado_utc,cerrado_utc,descripcion,num_comentarios,primer_comentario_fecha,ultimo_comentario_fecha,autores_comentarios,ultimo_comentario,comentarios,url
38,177935603,CREACIÓN DE LA CARPETA CARSIMULATOR Y REORGANIZCIÓN DE LA CARPETA CONTENT,Issue,Closed,SPRINT 0 - Arranque inicial y carpetas,0,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2025-11-07,2025-11-25,19,,2025-12-01 09:36:42,2025-12-04 09:06:06,2025-12-01 09:38:02,,1,2025-12-04 09:06:06,2025-12-04 09:06:06,Sergio Alves Martín (@salvem00),"Eliminación de la carpeta ""Mi_carpeta"", que era la carpeta de Elsa (anterior desarrolladora) y creación de la carpeta ""CarSimulator"", que será la carpeta ÚNICA que englobará todos los contenidos dentro de la carpeta ""Content"". | Además se ha aplicado un renombrado a los assets, con el prefijo correcto y el nombre siendo lo más descriptivo posible, en inglés.","1. [2025-12-04 09:06:06] Sergio Alves Martín (@salvem00): Eliminación de la carpeta ""Mi_carpeta"", que era la carpeta de Elsa (anterior desarrolladora) y creación de la carpeta ""CarSimulator"", que será la carpeta ÚNICA que englobará todos los contenidos dentro de la carpeta ""Content"". | Además se ha aplicado un renombrado a los assets, con el prefijo correcto y el nombre siendo lo más descriptivo posible, en inglés.",https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/38
39,177935650,LIMPIEZA DE CARPETAS Y ASSETS,Issue,Closed,SPRINT 0 - Arranque inicial y carpetas,0,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2025-11-19,2025-11-27,9,,2025-12-01 09:37:44,2025-12-04 09:08:46,2025-12-01 09:38:08,,1,2025-12-04 09:08:46,2025-12-04 09:08:46,Sergio Alves Martín (@salvem00),"Selección y eliminación de contenido, dentro de la carpeta ""Content"" pero fuera de ""Mi_carpeta"". | Ya que todo es contenido importado desde la Epic Store Fab, no se ha aplicado un renombrado.","1. [2025-12-04 09:08:46] Sergio Alves Martín (@salvem00): Selección y eliminación de contenido, dentro de la carpeta ""Content"" pero fuera de ""Mi_carpeta"". | Ya que todo es contenido importado desde la Epic Store Fab, no se ha aplicado un renombrado.",https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/39
1,177914513,FAMILIARIZACIÓN CON LA IA EN UNREAL Y LA ACTUAL DEL PROGRAMA,Issue,Closed,SPRINT 1 - Familiarización y entorno,1,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2025-11-27,2025-12-02,6,3,2025-11-30 18:31:28,2025-12-04 09:10:54,2025-12-03 08:46:27,Duración estimada: 3 días,1,2025-12-04 09:10:54,2025-12-04 09:10:54,Sergio Alves Martín (@salvem00),"Investigación y aprendizaje del funcionamiento de las IAs en un entorno Unreal, y comprehensión del codigo actual del proyecto.","1. [2025-12-04 09:10:54] Sergio Alves Martín (@salvem00): Investigación y aprendizaje del funcionamiento de las IAs en un entorno Unreal, y comprehensión del codigo actual del proyecto.",https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/1
2,177914514,IMPLEMENTACIÓN DE UN SEMAFORO DINÁMICO,Issue,Closed,SPRINT 1 - Familiarización y entorno,1,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2025-12-02,2025-12-09,8,3,2025-11-30 18:31:29,2025-12-15 10:28:08,2025-12-15 10:28:08,Duración estimada: 3 días,2,2025-12-09 14:13:05,2025-12-15 10:28:00,Sergio Alves Martín (@salvem00),"Se ha implementado además un BP_IntersectionController, encargado de gestionar y coordinar de forma sencilla y configurable, los tiempos de los semáforos en una intersección.","1. [2025-12-09 14:13:05] Sergio Alves Martín (@salvem00): Implementación de semáforo: | El coche reconoce el semáforo, si está en verde continua su curso, si está en ambar o rojo, dependiendo de lo cerca que esté, frena más o menos, pero siempre deja de acelerar. | He probado a usar el WorldLocation de la Box Collision del semáforo pero al final he usado un arrow que marca el punto de detención. | Además, para la frenada, cambiada en el ControllerAI2, había probado un MapClammpedRange, pero el resultado era más complicado de optimizar por tanto he optado por una FloatCurve, que calcula Automaticamente la curva del valor de frenada, que en un futuro dependerá de las personalidades de la IA del vehículo o bicicletas. || 2. [2025-12-15 10:28:00] Sergio Alves Martín (@salvem00): Se ha implementado además un BP_IntersectionController, encargado de gestionar y coordinar de forma sencilla y configurable, los tiempos de los semáforos en una intersección.",https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/2
3,177914515,INTRODUCIR SEÑALES VERTICALES,Issue,Closed,SPRINT 1 - Familiarización y entorno,1,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2025-12-09,2025-12-11,3,2,2025-11-30 18:31:30,2025-12-15 10:26:45,2025-12-15 10:26:45,Duración estimada: 2 días,1,2025-12-15 10:26:41,2025-12-15 10:26:41,Sergio Alves Martín (@salvem00),"Implementación en el mapa de señales con una colission box y un punto de parada inicial. Los stops hacen que el coche frene por completo, esté parado 3 segundos y continue su curso. El ceda, frene casi por completo, y luego continua. Tuve un pequeño error al configurar el punto de parada (arrow) y su posicionamiento visual, ya que este no coincidia con el posicionamiento que el programa leía. Era importante porque la distancia se calcula de forma cuadratica, por tanto es importante siempre colocar el punto de parada en el centro de la via, para discriminar lo máximo posible en dicho cálculo, la coordenada no deseada (x o y dependiendo de la orientación).","1. [2025-12-15 10:26:41] Sergio Alves Martín (@salvem00): Implementación en el mapa de señales con una colission box y un punto de parada inicial. Los stops hacen que el coche frene por completo, esté parado 3 segundos y continue su curso. El ceda, frene casi por completo, y luego continua. Tuve un pequeño error al configurar el punto de parada (arrow) y su posicionamiento visual, ya que este no coincidia con el posicionamiento que el programa leía. Era importante porque la distancia se calcula de forma cuadratica, por tanto es importante siempre colocar el punto de parada en el centro de la via, para discriminar lo máximo posible en dicho cálculo, la coordenada no deseada (x o y dependiendo de la orientación).",https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/3
4,177914516,CREACIÓN DE UN VEHÍCULO CON IA CON RECORRIDO ALEATORIO,Issue,Closed,SPRINT 2 - Vehículo básico,2,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2025-12-11,2025-12-23,13,5,2025-11-30 18:31:30,2025-12-29 11:08:26,2025-12-29 11:08:26,Duración estimada: 5 días,1,2025-12-29 11:08:28,2025-12-29 11:08:28,Sergio Alves Martín (@salvem00),"Implementación inicial de un modelo de IA, que genera pesos iniciales aleatorios, para los inputs (20 sensores de distancia, 20 para tipo de terreno y velocidad) y genera dos outputs (throttle y dirección).","1. [2025-12-29 11:08:28] Sergio Alves Martín (@salvem00): Implementación inicial de un modelo de IA, que genera pesos iniciales aleatorios, para los inputs (20 sensores de distancia, 20 para tipo de terreno y velocidad) y genera dos outputs (throttle y dirección).",https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/4
5,177914517,MAPEO DE LA CIUDAD PARA EL USO DE SENSORES,Issue,Closed,SPRINT 2 - Vehículo básico,2,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2025-12-23,2025-12-24,2,,2025-11-30 18:31:31,2026-01-13 11:06:50,2025-12-29 11:08:55,,2,2025-12-29 11:08:56,2026-01-13 11:06:50,Sergio Alves Martín (@salvem00),"Implementación de cajas de colision y modificadores de volumenes, para el uso del trazado de rayos, que servirán como sensores para los coches, a la hora de medir distancias en su entorno","1. [2025-12-29 11:08:56] Sergio Alves Martín (@salvem00): Ajuste inicial de los semáforos para que respondan al modelo. || 2. [2026-01-13 11:06:50] Sergio Alves Martín (@salvem00): Implementación de cajas de colision y modificadores de volumenes, para el uso del trazado de rayos, que servirán como sensores para los coches, a la hora de medir distancias en su entorno",https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/5
8,177914520,IMPLEMENTAR PERSONALIDADES VEHÍCULOS (PERFILAR CON ASPAYM),Issue,Closed,SPRINT 2 - Vehículo básico,2,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2025-12-17,2025-12-17,1,2,2025-11-30 18:31:32,2026-01-13 11:48:59,2026-01-13 11:48:59,Duración estimada: 2 días,1,2026-01-13 11:48:56,2026-01-13 11:48:56,Sergio Alves Martín (@salvem00),"17-12-2025_REUNIÓN_COGNITIVE_CAR_IA.pdf (/uploads/d22f833f32258854ae83b7bc59477da4/17-12-2025_REUNI%C3%93N_COGNITIVE_CAR_IA.pdf) | Reunión excepcional con el fin de acordar las caracteristicas, restricciones y diferencias entre los perfiles o tipos de conductor (Agresivo/Confiado, Inexperto/Inseguro y Normal).","1. [2026-01-13 11:48:56] Sergio Alves Martín (@salvem00): 17-12-2025_REUNIÓN_COGNITIVE_CAR_IA.pdf (/uploads/d22f833f32258854ae83b7bc59477da4/17-12-2025_REUNI%C3%93N_COGNITIVE_CAR_IA.pdf) | Reunión excepcional con el fin de acordar las caracteristicas, restricciones y diferencias entre los perfiles o tipos de conductor (Agresivo/Confiado, Inexperto/Inseguro y Normal).",https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/8
6,177914518,CREACIÓN DE UN SISTEMA DE EVOLUCIÓN GENERATIVA,Issue,Closed,SPRINT 3 - Entrenamiento y ajuste del modelo,3,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2025-12-25,2026-01-01,8,2,2025-11-30 18:31:32,2026-01-13 11:53:35,2026-01-13 11:53:35,Duración estimada: 2 días,1,2026-01-13 11:53:32,2026-01-13 11:53:32,Sergio Alves Martín (@salvem00),"Implementación de un sistema de comprobación, evaluación y guardado, de los resultados de un modelo en diferentes situaciones. | Se guarda, se cargan y se testean los mejores resultados. | A partir de un manager evolutivo, y una multitud de coches fantasma, se comprueba el resultado de cada uno, buscando el mejor fitness o más premiado. Se pasa a la siguiente generación, mutando la red neuronal del campeón, y conservandola si los resultados no mejoran.","1. [2026-01-13 11:53:32] Sergio Alves Martín (@salvem00): Implementación de un sistema de comprobación, evaluación y guardado, de los resultados de un modelo en diferentes situaciones. | Se guarda, se cargan y se testean los mejores resultados. | A partir de un manager evolutivo, y una multitud de coches fantasma, se comprueba el resultado de cada uno, buscando el mejor fitness o más premiado. Se pasa a la siguiente generación, mutando la red neuronal del campeón, y conservandola si los resultados no mejoran.",https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/6
9,177914521,CREACIÓN Y AJUSTE DE RESTRICCIONES PARA EL MODELO DEL VEHÍCULO,Issue,Closed,SPRINT 3 - Entrenamiento y ajuste del modelo,3,,Sergio Alves Martín,salvem00,Sergio Alves Martín,salvem00,2026-01-01,2026-01-08,8,2,2025-11-30 18:31:33,2026-01-13 11:56:38,2026-01-13 11:56:38,Duración estimada: 2 días,1,2026-01-13 11:56:39,2026-01-13 11:56:39,Sergio Alves Martín (@salvem00),"Para el correcto funcionamiento y evaluación del modelo, se han creado distintas restricciones usando los datos de los inputs. | La implementación de un step para la dirección, que ayuda a evitar valores extraños, ya que se calcula cada frame, y existe la posibilidad de que varie de forma irreal. | Se ha implementado además una comprobación consntante de como conduce el modelo por el carril, como de centrado está y su habilidad para corregir la situación.","1. [2026-01-13 11:56:39] Sergio Alves Martín (@salvem00): Para el correcto funcionamiento y evaluación del modelo, se han creado distintas restricciones usando los datos de los inputs. | La implementación de un step para la dirección, que ayuda a evitar valores extraños, ya que se calcula cada frame, y existe la posibilidad de que varie de forma irreal. | Se ha implementado además una comprobación consntante de como conduce el modelo por el carril, como de centrado está y su habilidad para corregir la situación.",https://gitlab.com/HP-SCDS/Observatorio/2025-2026/cognitivecarsimulatorreloaded/ule-ii-cognitivecarsimulatorreloaded/-/work_items/9
