Generation BestFit MeanFit BestFitMA MeanFitMA
1 88891.961208 25894.484216 88891.961208 25894.484216
2 -311.778017 16817.684509 44290.091595499995 21356.084362499998
3 -326.896198 22164.711435 29417.762330999994 21625.62672
4 -384.333126 27803.330781 21967.238466749997 23170.05273525
5 -452.62312 15607.19071 17483.2661494 21657.4803302
6 83403.598817 24303.618208 28469.988260666665 22098.503309833333
7 -326.182575 25216.713631 24356.24956985714 22543.961927142856
8 -306.510505 14991.614114 21273.404560499996 21599.918450499998
9 -250.854785 20513.910716 18881.820188777772 21479.250924444441
10 -325.566085 20336.183072 16961.081561399995 21364.944139199994
11 -289.08951 24405.245488 15392.884191272724 21641.335170909086
12 -272.256707 16486.420399 14087.455783083331 21211.758939916661
13 -255.696109 22705.055655 12984.136406769228 21326.627917999991
14 -266.768392 18877.591001 12037.643206857141 21151.696709642853
15 -215.93904 23520.398083 11220.737723733331 21309.610134533326
16 -509.285274 25977.550459 10487.611286374999 21601.356404812494
17 -324.277052 23035.353574 9851.61785470588 21685.709179470581
18 -210.256624 24104.524877 9292.6248281111111 21820.08782933333
19 -318.887728 14042.427485 8786.7557462105251 21410.737284894731
20 -349.006512 18414.655916 8329.9676332999989 21260.933216449997
21 -418.488813 21809.074136 7913.3744691904758 21287.035164999998
22 -346.743877 19786.871812 7537.9145443636362 21218.845921681816
23 -395.216665 20833.462746 7192.9957961304335 21202.090131434779
24 -319.758232 14127.79676 6879.9643782916655 20907.327907624996
25 -197.537511 23479.209565 6596.8643027199987 21010.203173919996
26 -369.118016 20312.55023 6328.9419058461535 20983.370368384614
27 -238.993419 23680.352325 6085.6850419629618 21083.258588999997
28 -327.047046 24533.323912 5856.658895964285 21206.47520767857
29 -296.292014 18426.764458 5644.4881749310334 21110.623112862068
30 -329.80139 25131.140204 5445.3451894333321 21244.640349233334
31 -322.94549 22605.562449 2471.5149661666655 21135.009623666665
32 -232.392609 16807.251835 2474.1611464333323 21134.661867866664
33 -222.459708 18123.659184 2477.6423627666659 20999.960126166665
